Refined_Formal_Name,Original-QID,Original-Refined_Category,Original-Status/Notes,Second-Query_QID,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Abigail giving Presents to David,,Work,[Validation] 画作主题。,,,,No results found
Abraham Brueghel,Q1824525,Person,[Disambiguation] 佛兰芒静物画家。 | [Validation] 佛兰芒画家。,Q1824525,Abraham Brueghel,Flemish Baroque painter (1631-1690),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Abraham Hume,,Person,[Reconstruction] 收藏家/鉴赏家。,Q17198983,Abraham Hume,English clergyman and cricketer (1819-1888),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Abraham Nicolas Amelot de la Houssaye,Q2667383,Person,[Reconstruction] 名字倒装复原。 | [Validation] 历史学家。,Q2667383,Abraham Nicolas Amelot de la Houssaye,French historian (1634-1706),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Abruzzo,Q1284,Place,[Validation] 意大利大区。,Q37275433,Abruzzo,family name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Academy of Fine Arts of Parma,,Organization,[Category Fix] 帕尔马美术学院。,Q3604017,Academy of Fine Arts of Parma,Academy of Fine Arts in Italy,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Académie Française,,Organization,"[OCR Fix] 修正 ""?"" 为 ""ç""。法兰西学术院。",Q161806,Académie Française,pre-eminent council for the French language,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia Albrizziana,,Organization,"[OCR Fix] 修正 ""Accbremia"" 为 ""Accademia""。同 Row 23。 | [Validation] 威尼斯文学学会 (Albrizzi)。",,,,No results found
Accademia Carrara,Q338367,Place/Organization,[Validation] 贝加莫的美术馆/学院。,Q338367,Accademia Carrara,Italian art gallery and academy of fine arts in Bergamo,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia degli Umoristi,,Group,[Validation] 罗马文学学会。 | 罗马文学学院。,Q3603986,Accademia degli Umoristi,Italian academy founded in 1603,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia dei Cacadubbi,,Organization,[Validation] 戏谑性学会 (Humorous Academy)。,,,,No results found
Accademia dei Concordi (Rovigo),,Organization,[Validation] 罗维戈的学会。,,,,No results found
Accademia dei Lincei,,Organization,[Category Fix] 原文误标为 Place。 | [Validation] 猞猁之眼国家科学院。,Q3639657,Biblioteca dell'Accademia Nazionale dei Lincei e Corsiniana,conservation library in Italy,"Low Confidence - Score: 50.6 (Sim: 0.51, Cat: Neutral)"
Accademia dell'Arcadia,,Group,[Category Fix] 阿卡迪亚学院。 | [Disambiguation] 阿卡迪亚学院。,Q9138745,Accademia dell'Arcadia,orchestra based in Poland,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia delle Arti del Disegno,,Organization,[Disambiguation] 佛罗伦萨迪亚诺学院。,Q1760178,Accademia delle Arti del Disegno,"academy of artists in Florence, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia di Belle Arti di Brera,,Organization,[Validation] 布雷拉美术学院。,Q338472,Brera Academy,"art academy in Milan, Italy (1776–)","Low Confidence - Score: 26.7 (Sim: 0.27, Cat: Neutral)"
Accademia di Belle Arti di Firenze,,Organization,[Disambiguation] 佛罗伦萨美术学院。,Q4585397,"Academy of Fine Arts, Florence","art academy in Florence, Italy","Low Confidence - Score: 56.2 (Sim: 0.56, Cat: Neutral)"
Accademia di Belle Arti di Parma,,Organization,[Disambiguation] 帕尔马美术学院。,Q3604017,Academy of Fine Arts of Parma,Academy of Fine Arts in Italy,"Medium Confidence - Score: 62.3 (Sim: 0.62, Cat: Neutral)"
Accademia di Belle Arti di Venezia,Q338505,Organization,[Validation] 威尼斯美术学院。,Q338505,Accademia di Belle Arti di Venezia,"public tertiary academy of art in Venice, Italy, founded in 1750","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia di San Luca,Q338523,Organization,[Validation] 罗马圣路卡学院。,Q338523,Accademia di San Luca,Italian association of artists in Rome,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia di San Luca / Académie Royale,,Organization,[Context] 可能是指罗马圣路卡学院或巴黎皇家绘画雕塑学院（通用名）。,,,,No results found
Achille Bosisio,,Person,[Validation] 威尼斯历史作家。,,,,No results found
Achille Neri,Q20488569,Person,[Validation] 人物。,Q122905814,Achille Neri,Italian architect (1930-2000),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Adam von Bartsch,,Person,[Full Name] 奥地利学者/版画家。,Q78785,Adam Bartsch,"Austrian painter, writer and engravings expert (1757-1821)","High Confidence - Score: 105.7 (Sim: 0.86, Cat: Match)"
Adolfo Venturi,Q2824734,Person,[Validation] 艺术史学家。,Q2824734,Adolfo Venturi,Italian art historian (1856-1941),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Adolph S. Cavallo,,Person,[Full Name] 纺织品策展人/学者。,Q77518121,Adolfo S. Cavallo,American art historian,"Medium Confidence - Score: 88.2 (Sim: 0.88, Cat: Neutral)"
Adonis,Q163920,Person (Myth),[Category Fix] 误标为 Person (普通)，实为神话人物。,Q147534,Adonis,genus of plants,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Adoration of the Magi,,Work,[Validation] 绘画题材。,Q122664454,Adoration of the Magi,painting by Bertholet Flémal (ca 1652),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Adriaen van der Werff,Q368053,Person,[Validation] 荷兰画家。 | 荷兰画家。,Q368053,Adriaen van der Werff,Dutch painter (1659–1722),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Adriatic Sea,Q13924,Place,[Validation] 地名。,Q13924,Adriatic Sea,body of water between the Italian Peninsula and the Balkan Peninsula,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Adrien Maurice de Noailles,,Person,"[OCR Fix] ""Mar谷chal"" -> ""Maréchal""。诺瓦耶公爵/元帅。",Q376707,Adrien Maurice de Noailles,Marshal of France (1678-1766),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Aedes Barberina ad Quirinalem,,Work,[Validation] Girolamo Teti 的书名。,,,,No results found
Aeneas,Q82732,Person (Myth),[Validation] 神话人物。,Q20000656,Aeneas,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Aeneid,,Work,[Validation] 维吉尔史诗。,Q60220,Aeneid,epic poem by Virgil,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Agamemnon,Q128176,Person (Myth),[Validation] 神话人物。,Q514891,Agamemnon,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Agnolo Galli,Q127691377,Person,[Validation] 罗马官员/赞助人。,,,,No results found
Agony in the Garden,,Work,[Validation] 绘画主题。,Q5967673,Agony in the Garden,painting by El Greco (Andujar),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Agostino Barelli,Q395578,Person,[Validation] 巴洛克建筑师。,Q395578,Agostino Barelli,Italian architect,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Agostino Chigi,,Person,[Disambiguation] 基吉家族成员。 | [Reconstruction] 文艺复兴银行家。,Q395635,Agostino Chigi,Italian banker,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Agostino Chigi (Prince of Farnese),,Person,[Reconstruction] 亲王。,,,,No results found
Agostino Ciampelli,Q1061864,Person,[Validation] 画家。,Q1061864,Agostino Ciampelli,Italian painter (1565-1630),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Agostino Mascardi,Q3606791,Person,[Validation] 历史学家/修辞学家。,Q3606791,Agostino Mascardi,"Italian rhetorician, historian and poet","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Agostino Masucci,Q395680,Person,[Validation] 画家。,Q395680,Agostino Masucci,Italian painter (1691-1758),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Agostino Mitelli,Q1427142,Person,[Validation] 画家 (Quadraturista)。,Q1427142,Agostino Mitelli,Italian painter (1609-1660),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Agostino Sagredo,Q3606820,Person,[Validation] 威尼斯参议员/收藏家。,Q3606820,Agostino Sagredo,Italian historian and politician (1798–1871),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Agostino Tassi,Q395741,Person,[Validation] 画家。,Q395741,Agostino Tassi,Italian painter (c.1580-1644),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Albergo del Moretto,,Place,[Validation] 地点（旅馆）。,,,,No results found
Albert Charles Sewter,,Person,[Full Name] 20世纪艺术史学家。,Q18934833,A. C. Sewter,British art historian (1912-1983),"Medium Confidence - Score: 60.6 (Sim: 0.61, Cat: Neutral)"
Albert Ilg,Q86432,Person,[Validation] 艺术史学家。,Q86432,Albert Ilg,Austrian art historian (1847-1896),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alberto Cametti,Q5601360,Person,[Validation] 音乐学家。,Q5601360,Alberto Cametti,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alberto Vecchi,,Person,[Validation] 学者。,Q131758432,Alberto Vecchi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Albrecht Dürer,Q5580,Person,[Validation] 丢勒。,Q5580,Albrecht Dürer,"German painter, printmaker, mathematician, and theorist (1471–1528)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Aldo De Rinaldis,Q51529772,Person,[Validation] 艺术史学家。,Q51529772,Aldo De Rinaldis,Italian art critic and writer (1881-1948),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Aldo Ravà,Q105102298,Person,[Validation] 威尼斯研究学者。,Q105102298,Aldo Ravà,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Albani,Q540338,Person,[Validation] 亚历山德罗·阿尔多布兰迪尼枢机。,Q540338,Alessandro Albani,Roman Catholic cardinal and antiquarian (1692–1779),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Algardi,Q336798,Person,[Validation] 雕塑家。,Q26111373,Alessandro Algardi,Italian painter (born 1945),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Baudi di Vesme,Q52157623,Person,[Validation] 艺术史学家。,Q52157623,Alessandro Baudi di Vesme,"academic (1854 - 1923), member of the Accademia delle Scienze di Torino since 1910","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Bettagno,Q59527613,Person,[Validation] 艺术史学家。,Q59527613,Alessandro Bettagno,"born:1919-04-12|died:2004-10-20|; Bettagno, Alessandro, 1919-2004; Bettagno, Alessandro 1919-...","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Borgia,Q3609880,Person,[Validation] 亚历山德罗·波吉亚。,Q2197044,Alessandro Borgia,Italian nobleman and Knight Hospitaller,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Farnese (Cardinal),,Person,[Reconstruction] 可能是指教皇保罗三世之前的身份，或其孙子 Alessandro Farnese il Giovane。需结合语境。通常指 il Giovane (著名赞助人)。 | [Validation] 法尔内塞枢机。,,,,No results found
Alessandro Farnese (Duke of Parma),,Person,[Validation] 帕尔马公爵。,,,,No results found
Alessandro Galilei,Q176742,Person,[Validation] 建筑师。,Q176742,Alessandro Galilei,Italian architect and engineer of the Baroque period (1691–1737),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Gherardini,Q327785,Person,[Validation] 画家。,Q327785,Alessandro Gherardini,Italian painter (1655–1726),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Longhi,Q1855242,Person,[Validation] 威尼斯肖像画家。,Q1855242,Alessandro Longhi,Italian painter and engraver (1733-1813),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Luzio,Q3610091,Person,[Validation] 历史学家。,Q3610091,Alessandro Luzio,Italian journalist and historian (1857-1946),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Magnasco,Q516941,Person,[Validation] 画家。,Q516941,Alessandro Magnasco,Italian painter (1667-1749),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Marabottini,Q19753755,Person,[Validation] 艺术史学家。,Q19753755,Alessandro Marabottini,"b. 1926 in Florence, Ialy; d. 2012 in Florence, Italy; art collector","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Marchesini,Q3460024,Person,[Category Fix] 原文误标为 Man-Made Object。维罗纳画家。 | [Validation] 画家。,Q3460024,Alessandro Marchesini,Italian painter (1663-1738),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Orsini,Q2832804,Person,[Validation] 亚历山德罗·奥尔西尼枢机。,Q11904881,Alessandro Orsini,Italian composer (1832-1890),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Peretti di Montalto,Q82659,Person,[Validation] 枢机主教。 | 红衣主教蒙塔尔托。,Q82659,Alessandro Peretti di Montalto,Italian Roman Catholic Cardinal Deacon,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Saluzzi,,Person,,Q18507717,Alessandro Salucci,Italian painter (1590-1655),"High Confidence - Score: 108.9 (Sim: 0.89, Cat: Match)"
Alessandro Scarlatti,Q183087,Person,[Validation] 作曲家。,Q183087,Alessandro Scarlatti,Italian composer (1660–1725),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Sforza,Q953878,Person,[Validation] 斯福尔扎家族成员 (可能是枢机)。,Q2832818,Alessandro Sforza,Italian Roman Catholic bishop and cardinal,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Turchi,Q507279,Person,[Validation] 画家 (l'Orbetto)。,Q507279,Alessandro Turchi,Italian painter (1578–1649),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Varotari,Q1727824,Person,别名 Padovanino。,Q1727824,Alessandro Varotari,painter from Italy (1588-1649),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Varotari (Padovanino),,Person,[Disambiguation] 帕多瓦尼诺。,,,,No results found
Alessandro Vassalli,,Person,"[OCR Fix] 疑似 ""Vassalli"" (17世纪出版商/刻工)。",,,,No results found
Alessandro Vittrice,,Person,罗马贵族，卡拉瓦乔《入葬》的赞助人。,Q4716445,Alessandro Vittrici,Roman art collector an catholic bishop,"High Confidence - Score: 114.7 (Sim: 0.95, Cat: Match)"
Alessandro Vittrici,Q4716445,Person,[Disambiguation] 罗马主教/副总管 (Vicegerent)。,Q4716445,Alessandro Vittrici,Roman art collector an catholic bishop,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Zen,,Person,[Validation] 威尼斯贵族。 | 威尼斯检察官。,Q3610383,Alessandro Zenatello,Italian painter (1891-1977),"High Confidence - Score: 102.4 (Sim: 0.82, Cat: Match)"
Alessandro de' Medici (Duke of Florence),,Person,[Disambiguation] 佛罗伦萨公爵。,,,,No results found
"Alexander Hamilton, 10th Duke of Hamilton",Q336657,Person,[Full Name] 著名收藏家。,Q336657,"Alexander Hamilton, 10th Duke of Hamilton","Scottish peer, politician and art collector (1767-1852)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alexander III (Pope),,Person,[Disambiguation] 教皇亚历山大三世（常见于威尼斯历史画）。,,,,No results found
Alexander Sauli,Q1341237,Person,[Validation] 圣徒 (St. Alexander Sauli)。,Q1341237,Alexander Sauli,Italian saint,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alexander VII,,Person,[Disambiguation] 教皇亚历山大七世。,Q127254,Alexander VII,pope of the Catholic Church from 1655 to 1667,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alexander VIII,,Person,教皇亚历山大八世。,Q101294,Alexander VIII,pope of the Catholic Church from 1689 to 1691,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alexander the Great,Q8409,Person,[Validation] 历史人物。,Q8409,Alexander the Great,king of Macedonia and conqueror of Achaemenid Persia (356–323 BC),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alfonso E. Pérez Sánchez,,Person,[Full Name] 艺术史学家 (普拉多博物馆馆长)。,Q1186153,Alfonso Pérez Sánchez,Spanish historian and university professor (1935-2010),"High Confidence - Score: 93.3 (Sim: 0.93, Cat: Neutral)"
Alfonso Gesualdo,Q1373399,Person,[Disambiguation] 枢机主教。 | [Validation] 枢机主教。,Q1373399,Alfonso Gesualdo,Catholic cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alfonso I d'Este,Q188346,Person,[Validation] 费拉拉公爵。,Q188346,Alfonso I d'Este,"Duke of?Ferrara, Modena and Reggio (1476–1534)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alfred Sensier,Q2835445,Person,[Validation] 艺术评论家/传记作家。,Q2835445,Alfred Sensier,French art historian (1815–1877),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alfredo Bardella,,Person,[Validation] 人物。,,,,No results found
Alice Binion,,Person,[Validation] 艺术史学家 (威尼斯画派专家)。,,,,No results found
Allan Hume,Q455438,Person,[Validation] 人物 (可能是收藏家或 Grand Tour 旅行者)。,Q455438,Allan Hume,British Ornithologist and Founder of the Indian National Congress (1829–1912),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Allegory of Clemency,,Work,[Validation] 寓意画主题。,,,,No results found
Allegory of Coral fishing,,Work,[Validation] 雅格布·祖奇 (Jacopo Zucchi) 画作。,,,,No results found
Allegory of Divine Providence and Barberini Power,Q4731387,Work,[Disambiguation] Pietro da Cortona 壁画。 | [Validation] 皮耶特罗·达·科尔托纳壁画。,Q4731387,Allegory of Divine Providence and Barberini Power,fresco by Pietro da Cortona,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Allegory of Divine Wisdom,Q111821593,Work,[Validation] 安德烈亚·萨基壁画。,Q26699586,Allegory of Divine Wisdom,painting by Luca Giordano,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Allegory of Fortune,Q20087469,Work,[Validation] 寓意画主题。,Q20087469,Allegory of Fortune,painting by Salvator Rosa,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Allegory of Rome,,Work,[Validation] 寓意画主题。,Q108758158,Allegory of Rome,drawing by Giovanni Mauro della Rovere (il Fiammenghino),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Allegory of Venice,,Work,[Validation] 寓意画主题。,Q50947952,Allegory of Venice,"painting by Paolo Veronese, Szépm?vészeti Múzeum","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Allegory of the Arts,,Work,[Validation] 寓意画主题。,Q27974834,Allegory of the Arts,"painting by Bernardo (Il Cappuccino, Il Prete Genovese) Strozzi","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Allegory of the Education of the Crown Prince,,Work,[Validation] 寓意画主题。,,,,No results found
Almorò Albrizzi,,Person,"[OCR Fix] 修正 ""Almor¨°"" 为 ""Almorò""。",Q55225031,Almorò Albrizzi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Almorò Pisani,,Person,"[OCR Fix] ""辰"" -> ""ò""。威尼斯贵族。",,,,No results found
Aloys Thomas Raimund von Harrach,,Person,[Disambiguation]那不勒斯总督/收藏家。,Q24211,Aloys Thomas Raimund,Austrian politician and diplomat (1669-1742),"Medium Confidence - Score: 76.9 (Sim: 0.77, Cat: Neutral)"
Aloysius Gonzaga,Q310307,Person,[Validation] 圣路易吉·公撒格。,Q310307,Aloysius Gonzaga,Italian aristocrat and Jesuit seminarian and saint,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alps,Q1286,Place,[Validation] 地名。,Q1286,Alps,major mountain range system in central Europe,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Altar Paintings (San Canciano),,Work,[Validation] 祭坛画组。,,,,No results found
Altar of Friendship,,Work,[Validation] 纪念碑/画作主题。,,,,No results found
Altar of Tranquility and Rural Life,,Work,[Validation] 纪念碑/画作主题。,,,,No results found
Altar of Wealth and Apollo,,Work,[Validation] 纪念碑/画作主题。,,,,No results found
Altarpiece for Chiesa Nuova,,Work,[Validation] 祭坛画（可能是鲁本斯）。,,,,No results found
Altarpiece for Santa Maria dei Cappuccini,,Work,[Validation] 祭坛画。,,,,No results found
Altarpiece for St. Sebastian,,Work,[Validation] 祭坛画。,,,,No results found
Altarpiece for the Augustinian Church,,Work,[Validation] 祭坛画。,,,,No results found
Altarpieces for the Royal Chapel,,Work,[Validation] 祭坛画组。,,,,No results found
Alte Pinakothek,Q154568,Place,[Validation] 慕尼黑老绘画陈列馆。,Q154568,Alte Pinakothek,"art museum in Munich, Germany","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Altero Matteoli,,Person,[Context] 现代意大利政治家/部长（可能出现在参考文献中）。,Q438845,Altero Matteoli,Italian politician (1940-2017),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Altieri (Family),,Person/Group,[Category Fix] 误标为 Place。指家族或 Palazzo。,,,,No results found
Alvise Mocenigo,Q3613470,Person,[Validation] 威尼斯总督/贵族（需具体上下文区分几世）。 | 威尼斯总督（具体哪一世需上下文，通常指 Alvise IV 1763-1778）。,Q3613470,Alvise Mocenigo,Italian politician (1583-1654),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alvise Pisani,Q449469,Person,[Validation] 威尼斯总督/贵族。,Q449469,Alvise Pisani,114th Doge of Venice (1664-1741),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Amadeo Svajer,,Person,[OCR Fix/Standardization] 威尼斯收藏家 (Svajer)。,Q3613921,Amedeo Svajer,Italian merchant (1727-1791),"High Confidence - Score: 92.3 (Sim: 0.92, Cat: Neutral)"
Amalfi,Q80563,Place,[Validation] 地名。,Q80563,Amalfi,Italian comune,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Amalia Mezzetti,Q116770583,Person,[Validation] 艺术史学家。,Q116770583,Amalia Mezzetti,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ambrogio Mazenta,,Person,17世纪巴尔纳比特修士/建筑师。,,,,No results found
Ambroise Dubois,Q2415583,Person,[Reconstruction] 枫丹白露画派画家。 | [Validation] 画家 (枫丹白露画派)。,Q2415583,Ambroise Dubois,Dutch painter (1542-1614),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Amico Ricci,Q3614269,Person,[Validation] 艺术史学家。,Q3614269,Amico Ricci,Italian art historian (1794–1862),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Amor Vincit Omnia,Q474024,Work,[Validation] 卡拉瓦乔画作。,Q474024,Amor Vincit Omnia,painting by Caravaggio,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Amsterdam,Q727,Place,[Validation] 地名。,Q727,Amsterdam,capital and most populous city of the Netherlands,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Anatole de Montaiglon,Q2845613,Person,[Validation] 艺术史学家。,Q2845613,Anatole de Montaiglon,French librarian and historian (1824–1895),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Brustolon,Q3615560,Person,[Validation] 威尼斯雕塑家。,Q3615560,Andrea Brustolon,Italian artist (1662-1732),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Camassei,Q3615565,Person,[Validation] 巴洛克画家。,Q3615565,Andrea Camassei,Italian painter (1602-1649),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Carlone,Q3106993,Person,[Validation] 热那亚画家。,Q3106993,Andrea Carlone,Italian painter (1639-1697),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
