Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Abigail giving Presents to David,Abigail giving Presents to David (Painting),Work,[Category Fix] 绘画主题/作品。
Academy at Parma,Academy of Fine Arts of Parma,Organization,[Category Fix] 机构。
Accademia dei Cacadubbi,Accademia dei Cacadubbi,Organization,[Status] 18世纪威尼斯的一个小型/幽默性质的学院/社团。
Accbremia Albrizziana,Accademia Albrizziana,Organization,"[OCR Fix] ""Accbremia"" -> ""Accademia""。"
Achille Bosisio,Achille Bosisio,Person,[Category Fix] 误标为作品。可能是指同名作家或其作品集。
Aedes Barberina ad Quirinalem,Aedes Barberinae ad Quirinalem (Book),Work,[Category Fix] 误标为地点。Tetius 的书。
Albergo del Moretto,Albergo del Moretto,Place,[Status] 威尼斯旅馆名。
Alessandro Vasalli,Alessandro Vassalli,Person,"[OCR Fix] ""Vasalli"" -> ""Vassalli""。误标为地点。"
Alfredo Bardella,Alfredo Bardella,Person,[Status] 可能是 19/20世纪人物 (如插画家?)，出现在索引中可能是作为作者/来源。
Alice Binion,Alice Binion,Person,[Category Fix] 误标为作品。艺术史学家。
Allegory of Clemency,Allegory of Clemency (Painting),Work,[Category Fix] 误标为地点。
Allegory of Coral fishing,Allegory of Coral Fishing (Painting),Work,[Category Fix] 误标为人物。Jacopo Zucchi 的作品？
Allegory of the Education of the Crown of the Palatinate,Allegory of the Education of the Crown of the Palatinate (Painting),Work,[Category Fix] 误标为人物。
Altar Paintings for the Parish Church of San Canciano,Altar Paintings for San Canciano,Work,[Category Fix] 误标为人物。
Altar of Friendship,Altar of Friendship (Motif/Work),Work,[Disambiguation] 常见于 Boucher 等人的作品主题。
Altar of Friendship,Altar of Friendship (Motif/Work),Work,[Duplicate] 重复条目。
Altar of Tranquility and Rural Life,Altar of Tranquility and Rural Life (Work),Work,[Category Fix] 误标为人物。
Altar of Wealth and Apollo,Altar of Wealth and Apollo (Work),Work,[Status] 作品名。
Altarpiece for Chiesa Nuova,Altarpiece for Chiesa Nuova,Work,[Status] 可能是 Rubens 的作品。
Altarpiece for Santa Maria dei Cappuccini,Altarpiece for Santa Maria dei Cappuccini,Work,[Category Fix] 误标为地点。
Altarpiece for Saint Sebastian,Altarpiece for Saint Sebastian,Work,[Status] 通用作品描述。
Altarpiece for the Augustinian Church,Altarpiece for the Augustinian Church,Work,[Status] 通用作品描述。
Altarpieces for the Royal Chapel,Altarpieces for the Royal Chapel,Work,[Status] 通用作品描述。
Andromache weeping before Aeneas,Andromache weeping before Aeneas (Painting),Work,[Status] 绘画主题。
Angelica Gri豕,Angelica Grill,Person,"[OCR Fix] ""Gri豕"" -> ""Grill""。误标为作品。"
Angels carrying the Instruments of the Passion and of Saint Philip in Ecstasy,Angels carrying the Instruments of the Passion... (Painting),Work,[Status] 作品名。
Animals and Figures in the Flemish Style,Animals and Figures in the Flemish Style,Work,"[Formatting] 去除法语翻译 ""des animaux...""。"
Annamaria Gabrielli,Annamaria Gabrielli,Person,[Category Fix] 误标为作品。
Annan Gallery,Annan Gallery,Organization,[Category Fix] 误标为人物。画廊。
Antichiesetta,Antichiesetta,Place,[Status] 威尼斯地点 (San Polo)。
Antichita di Palazzi,Antichità di Palazzi (Book/Series),Work,"[OCR Fix] 可能是 ""Antichità di Roma"" 或类似出版物的 OCR 错误，或者是特定宫殿的古迹集。"
Anton Francesco Goli,Anton Francesco Goli,Person,[Status] 未知人物，可能是误拼。
Antonio Paluello,Antonio Paluello,Person,[Category Fix] 误标为地点。可能是威尼斯建筑师或工匠。
Antonio Pitteri,Antonio Pitteri,Person,[Category Fix] 误标为地点。威尼斯版画商/艺术家 (Giovanni Marco Pitteri?)。
Apollo conducting Frederick Barbarossa's bride: Beatrice of Burgundy,Apollo conducting Frederick Barbarossa's bride... (Fresco),Work,[Status] Tiepolo 的壁画主题 (Würzburg)。
Apostolic Chamber of Commerc,Apostolic Chamber of Commerce (Congregazione),Organization,"[OCR Fix] ""Commerc"" -> ""Commerce""。可能是指教皇国的贸易管理机构。"
Apotheosis of the Pisani,Apotheosis of the Pisani Family (Fresco),Work,[Category Fix] 误标为人物。Tiepolo 在 Villa Pisani 的壁画。
Arch. del Gov. di Roma,Archivio del Governatorato di Roma,Organization,[Disambiguation] 罗马总督府档案馆。
Archivio Comunale di Treviso,Archivio Comunale di Treviso,Organization,[Category Fix] 误标为作品。
Archivio Mediceo,Archivio Mediceo,Organization,[Category Fix] 误标为地点。美第奇档案馆。
Archivio Storico per la Province Napoletane,Archivio Storico per le Province Napoletane,Work/Journal,"[OCR Fix] ""la Province"" -> ""le Province""。期刊名。"
Archiviodella Compagnia di Ges迄,Archivio della Compagnia di Gesù,Organization,"[OCR Fix] ""Archiviodella"" -> ""Archivio della"", ""Ges迄"" -> ""Gesù""。耶稣会档案馆。"
Ariadne being woken by Love,Ariadne being woken by Love (Painting),Work,[Category Fix] 误标为地点。
Arnaldi Lodovico,Lodovico Arnaldi,Person,[Formatting] 倒装修复。误标为地点。
Art Institute of Chicago Robert A. Waller Fund,Art Institute of Chicago (Robert A. Waller Fund),Organization,[Category Fix] 误标为地点。机构+基金。
"Arts Graphiques de la Cit谷,Agraci",Arts Graphiques de la Cité (Agraci),Organization,"[OCR Fix] ""Cit谷"" -> ""Cité""。出版商/机构。"
Augustinian Monastery Altarpiece,Augustinian Monastery Altarpiece,Work,[Status] 通用描述。
Barberini Chapel in San Andrea della Valle,Barberini Chapel (Sant'Andrea della Valle),Place,[Category Fix] 误标为人物。
Barberini Chapelin SanAndreadella Valle),Barberini Chapel (Sant'Andrea della Valle),Place,[OCR Fix] 修复空格和括号。
Barberini library,Barberini Library,Organization/Place,[Status] 机构。
Basilica of Santa Cecilia in Bologna,Basilica of Santa Cecilia (Bologna),Place,[Category Fix] 误标为作品。Oratorio di Santa Cecilia?
Batlisheba Bathing,Bathsheba Bathing (Painting),Work,"[OCR Fix] ""Batlisheba"" -> ""Bathsheba""。"
Battaria di Cusina,Batteria di Cucina,Work/Object,"[OCR Fix] ""Battaria di Cusina"" -> ""Batteria di Cucina"" (Kitchenware/Set of pots, 艺术品清单中常见)。"
Battistela,Battistella,Person,"[OCR Fix] ""Battistela"" -> ""Battistella"" (可能指 Antonio Battistella 或其他)。误标为地点。"
Beatae Mariae Virginis Officium,Officium Beatae Mariae Virginis,Work,[Category Fix] 误标为地点。祈祷书。
Beggar holding a Rosary,Beggar holding a Rosary (Painting),Work,[Status] 作品名。
Bell Towers for Saint Peter's Basilica (demolished),Bell Towers for St. Peter's (Bernini),Work,[Status] 贝尼尼设计的钟楼。
Bensburg Castle,Bensberg Castle,Place,"[OCR Fix] ""Bensburg"" -> ""Bensberg"" (Schloss Bensberg)。"
Bergamasque community,Bergamasque Community,Group,[Category Fix] 误标为作品。
Biblioceca Estense,Biblioteca Estense,Organization,"[OCR Fix] ""Biblioceca"" -> ""Biblioteca""。"
Biblioteca Correr,Biblioteca del Museo Correr,Organization,[Category Fix] 误标为作品。
Biblioteca Govemadva,Biblioteca Governativa,Organization,"[OCR Fix] ""Govemadva"" -> ""Governativa""。误标为地点。"
