Refined_Formal_Name,QID,Refined_Category,Status/Notes
Accademia delle Arti del Disegno,,Organization,[Disambiguation] 佛罗伦萨迪亚诺学院。
Accademia di Belle Arti di Brera,,Organization,[Validation] 布雷拉美术学院。
Accademia di Belle Arti di Firenze,,Organization,[Disambiguation] 佛罗伦萨美术学院。
Accademia di Belle Arti di Parma,,Organization,[Disambiguation] 帕尔马美术学院。
Accademia di Belle Arti di Venezia,Q338505,Organization,[Validation] 威尼斯美术学院。
Accademia di San Luca,Q338523,Organization,[Validation] 罗马圣路卡学院。
Accademia di San Luca / Académie Royale,,Organization,[Context] 可能是指罗马圣路卡学院或巴黎皇家绘画雕塑学院（通用名）。
Achille Bosisio,R1,Person,[Validation] 威尼斯历史作家。
Achille Neri,Q20488569,Person,[Validation] 人物。
Adam von Bartsch,,Person,[Full Name] 奥地利学者/版画家。
Adolfo Venturi,Q2824734,Person,[Validation] 艺术史学家。
Adolph S. Cavallo,,Person,[Full Name] 纺织品策展人/学者。
Adonis,Q163920,Person (Myth),[Category Fix] 误标为 Person (普通)，实为神话人物。
Adoration of the Magi,A5,Work,[Validation] 绘画题材。
Adriaen van der Werff,Q368053,Person,[Validation] 荷兰画家。 | 荷兰画家。
Adriatic Sea,Q13924,Place,[Validation] 地名。
Adrien Maurice de Noailles,,Person,"[OCR Fix] ""Mar谷chal"" -> ""Maréchal""。诺瓦耶公爵/元帅。"
Aedes Barberina ad Quirinalem,A7,Work,[Validation] Girolamo Teti 的书名。
Aeneas,Q82732,Person (Myth),[Validation] 神话人物。
Aeneid,A416,Work,[Validation] 维吉尔史诗。
Agamemnon,Q128176,Person (Myth),[Validation] 神话人物。
Agnolo Galli,Q127691377,Person,[Validation] 罗马官员/赞助人。
Agony in the Garden,,Work,[Validation] 绘画主题。
Agostino Barelli,Q395578,Person,[Validation] 巴洛克建筑师。
Agostino Chigi,,Person,[Disambiguation] 基吉家族成员。 | [Reconstruction] 文艺复兴银行家。
Agostino Chigi (Prince of Farnese),,Person,[Reconstruction] 亲王。
Agostino Ciampelli,Q1061864,Person,[Validation] 画家。
Agostino Mascardi,Q3606791,Person,[Validation] 历史学家/修辞学家。
Agostino Masucci,Q395680,Person,[Validation] 画家。
Agostino Mitelli,Q1427142,Person,[Validation] 画家 (Quadraturista)。
Agostino Sagredo,Q3606820,Person,[Validation] 威尼斯参议员/收藏家。
Agostino Tassi,Q395741,Person,[Validation] 画家。
Albergo del Moretto,G8,Place,[Validation] 地点（旅馆）。
Albert Charles Sewter,,Person,[Full Name] 20世纪艺术史学家。
Albert Ilg,Q86432,Person,[Validation] 艺术史学家。
Alberto Cametti,Q5601360,Person,[Validation] 音乐学家。
Alberto Vecchi,R2,Person,[Validation] 学者。
Albrecht Dürer,Q5580,Person,[Validation] 丢勒。
Aldo De Rinaldis,Q51529772,Person,[Validation] 艺术史学家。
Aldo Ravà,Q105102298,Person,[Validation] 威尼斯研究学者。
Alessandro Albani,Q540338,Person,[Validation] 亚历山德罗·阿尔多布兰迪尼枢机。
Alessandro Algardi,Q336798,Person,[Validation] 雕塑家。
Alessandro Baudi di Vesme,Q52157623,Person,[Validation] 艺术史学家。
Alessandro Bettagno,Q59527613,Person,[Validation] 艺术史学家。
Alessandro Borgia,Q3609880,Person,[Validation] 亚历山德罗·波吉亚。
Alessandro Farnese (Cardinal),,Person,[Reconstruction] 可能是指教皇保罗三世之前的身份，或其孙子 Alessandro Farnese il Giovane。需结合语境。通常指 il Giovane (著名赞助人)。 | [Validation] 法尔内塞枢机。
Alessandro Farnese (Duke of Parma),,Person,[Validation] 帕尔马公爵。
Alessandro Galilei,Q176742,Person,[Validation] 建筑师。
Alessandro Gherardini,Q327785,Person,[Validation] 画家。
Alessandro Longhi,Q1855242,Person,[Validation] 威尼斯肖像画家。
Alessandro Luzio,Q3610091,Person,[Validation] 历史学家。
Alessandro Magnasco,Q516941,Person,[Validation] 画家。
Alessandro Marabottini,Q19753755,Person,[Validation] 艺术史学家。
Alessandro Marchesini,Q3460024,Person,[Category Fix] 原文误标为 Man-Made Object。维罗纳画家。 | [Validation] 画家。
Alessandro Orsini,Q2832804,Person,[Validation] 亚历山德罗·奥尔西尼枢机。
Alessandro Peretti di Montalto,Q82659,Person,[Validation] 枢机主教。 | 红衣主教蒙塔尔托。
Alessandro Saluzzi,,Person,
Alessandro Scarlatti,Q183087,Person,[Validation] 作曲家。
Alessandro Sforza,Q953878,Person,[Validation] 斯福尔扎家族成员 (可能是枢机)。
Alessandro Turchi,Q507279,Person,[Validation] 画家 (l'Orbetto)。
Alessandro Varotari,Q1727824,Person,别名 Padovanino。
Alessandro Varotari (Padovanino),,Person,[Disambiguation] 帕多瓦尼诺。
Alessandro Vassalli,,Person,"[OCR Fix] 疑似 ""Vassalli"" (17世纪出版商/刻工)。"
Alessandro Vittrice,,Person,罗马贵族，卡拉瓦乔《入葬》的赞助人。
Alessandro Vittrici,Q4716445,Person,[Disambiguation] 罗马主教/副总管 (Vicegerent)。
Alessandro Zen,R4,Person,[Validation] 威尼斯贵族。 | 威尼斯检察官。
Alessandro de' Medici (Duke of Florence),,Person,[Disambiguation] 佛罗伦萨公爵。
"Alexander Hamilton, 10th Duke of Hamilton",Q336657,Person,[Full Name] 著名收藏家。
Alexander III (Pope),,Person,[Disambiguation] 教皇亚历山大三世（常见于威尼斯历史画）。
Alexander Sauli,Q1341237,Person,[Validation] 圣徒 (St. Alexander Sauli)。
Alexander VII,,Person,[Disambiguation] 教皇亚历山大七世。
Alexander VIII,,Person,教皇亚历山大八世。
Alexander the Great,Q8409,Person,[Validation] 历史人物。
Alfonso E. Pérez Sánchez,,Person,[Full Name] 艺术史学家 (普拉多博物馆馆长)。
Alfonso Gesualdo,Q1373399,Person,[Disambiguation] 枢机主教。 | [Validation] 枢机主教。
Alfonso I d'Este,Q188346,Person,[Validation] 费拉拉公爵。
Alfred Sensier,Q2835445,Person,[Validation] 艺术评论家/传记作家。
Alfredo Bardella,R5,Person,[Validation] 人物。
Alice Binion,R6,Person,[Validation] 艺术史学家 (威尼斯画派专家)。
Allan Hume,Q455438,Person,[Validation] 人物 (可能是收藏家或 Grand Tour 旅行者)。
Allegory of Clemency,A9,Work,[Validation] 寓意画主题。
Allegory of Coral fishing,A10,Work,[Validation] 雅格布·祖奇 (Jacopo Zucchi) 画作。
Allegory of Divine Providence and Barberini Power,Q4731387,Work,[Disambiguation] Pietro da Cortona 壁画。 | [Validation] 皮耶特罗·达·科尔托纳壁画。
Allegory of Divine Wisdom,Q111821593,Work,[Validation] 安德烈亚·萨基壁画。
Allegory of Fortune,Q20087469,Work,[Validation] 寓意画主题。
Allegory of Rome,A11,Work,[Validation] 寓意画主题。
Allegory of Venice,A14,Work,[Validation] 寓意画主题。
Allegory of the Arts,A12,Work,[Validation] 寓意画主题。
Allegory of the Education of the Crown Prince,,Work,[Validation] 寓意画主题。
Almorò Albrizzi,,Person,"[OCR Fix] 修正 ""Almor¨°"" 为 ""Almorò""。"
Almorò Pisani,,Person,"[OCR Fix] ""辰"" -> ""ò""。威尼斯贵族。"
Aloys Thomas Raimund von Harrach,,Person,[Disambiguation]那不勒斯总督/收藏家。
Aloysius Gonzaga,Q310307,Person,[Validation] 圣路易吉·公撒格。
Alps,Q1286,Place,[Validation] 地名。
Altar Paintings (San Canciano),,Work,[Validation] 祭坛画组。
Altar of Friendship,A15,Work,[Validation] 纪念碑/画作主题。
Altar of Tranquility and Rural Life,A16,Work,[Validation] 纪念碑/画作主题。
Altar of Wealth and Apollo,A17,Work,[Validation] 纪念碑/画作主题。
Altarpiece for Chiesa Nuova,A19,Work,[Validation] 祭坛画（可能是鲁本斯）。
Altarpiece for Santa Maria dei Cappuccini,A20,Work,[Validation] 祭坛画。
Altarpiece for St. Sebastian,A21,Work,[Validation] 祭坛画。
Altarpiece for the Augustinian Church,A22,Work,[Validation] 祭坛画。
Altarpieces for the Royal Chapel,A23,Work,[Validation] 祭坛画组。
Alte Pinakothek,Q154568,Place,[Validation] 慕尼黑老绘画陈列馆。
Altero Matteoli,R7,Person,[Context] 现代意大利政治家/部长（可能出现在参考文献中）。
Altieri (Family),,Person/Group,[Category Fix] 误标为 Place。指家族或 Palazzo。
Alvise Mocenigo,Q3613470,Person,[Validation] 威尼斯总督/贵族（需具体上下文区分几世）。 | 威尼斯总督（具体哪一世需上下文，通常指 Alvise IV 1763-1778）。
Alvise Pisani,Q449469,Person,[Validation] 威尼斯总督/贵族。
Amadeo Svajer,,Person,[OCR Fix/Standardization] 威尼斯收藏家 (Svajer)。
Amalfi,Q80563,Place,[Validation] 地名。
Amalia Mezzetti,Q116770583,Person,[Validation] 艺术史学家。
Ambrogio Mazenta,,Person,17世纪巴尔纳比特修士/建筑师。
Ambroise Dubois,Q2415583,Person,[Reconstruction] 枫丹白露画派画家。 | [Validation] 画家 (枫丹白露画派)。
Amico Ricci,Q3614269,Person,[Validation] 艺术史学家。
Amor Vincit Omnia,Q474024,Work,[Validation] 卡拉瓦乔画作。
Amsterdam,Q727,Place,[Validation] 地名。
Anatole de Montaiglon,Q2845613,Person,[Validation] 艺术史学家。
Andrea Brustolon,Q3615560,Person,[Validation] 威尼斯雕塑家。
Andrea Camassei,Q3615565,Person,[Validation] 巴洛克画家。
Andrea Carlone,Q3106993,Person,[Validation] 热那亚画家。
Andrea Celesti,Q1065524,Person,[Validation] 威尼斯画家。
Andrea Doria,Q156521,Person,[Validation] 热那亚海军上将。
Andrea Ferreri,Q18217670,Person,"[OCR Fix] ""Ferrerio"" -> ""Ferreri"" (巴洛克雕塑家)。 | [Validation] 巴洛克雕塑家。"
Andrea Gerini,Q44635166,Person,[Category Fix] 原文误标为 Man-Made Object。佛罗伦萨收藏家。 | [Validation] 佛罗伦萨贵族/收藏家。
Andrea Giacomo Podestà,Q4755099,Person,[Validation] 画家/版画家。
Andrea Giustiniani,,Person,[Validation] 贵族 (Prince of Bassano)。
Andrea Locatelli,Q494275,Person,[Validation] 罗马风景画家。
Andrea Mantegna,Q5681,Person,[Validation] 文艺复兴画家。
Andrea Memmo,Q1052776,Person,[Validation] 威尼斯政治家/作家。
Andrea Ottini,R11,Person,"[Check Original] 可能是 ""Pasquale Ottino"" 的误拼，或同名小众人物。"
Andrea Palladio,Q177692,Person,[Validation] 建筑师。
Andrea Podestà,,Person,"[OCR Fix] ""Podest角"" -> ""Podestà""。画家/版画家。"
Andrea Pozzo,Q380103,Person,[Validation] 耶稣会画家/建筑师。
Andrea Procaccini,Q2846401,Person,[Validation] 画家。
Andrea Querini,Q62056063,Person,[Validation] 威尼斯贵族。
Andrea Sacchi,Q495008,Person,[Validation] 罗马巴洛克画家。
Andrea Schiavone,Q495060,Person,[Validation] 威尼斯画家。
Andrea Stazio,,Person,威尼斯灰泥艺术家（Stuccatore）。
Andrea Tessier,Q23011967,Person,[Validation] 19世纪威尼斯档案学家。
Andrea Toresani,Q4755304,Person,[Validation] 人物。
Andrea Torresani,,Person,威尼斯出版商 (Aldine Press)。
Andrea Tron,Q110224729,Person,[Validation] 威尼斯政治家。
Andrea Vaccaro,Q2707224,Person,[Validation] 那不勒斯画家。
Andrea Zucchi,Q30250990,Person,[Validation] 版画家。
Andrea del Rosso,R9,Person,[Validation] 佛罗伦萨收藏家。 | 佛罗伦萨收藏家。
Andrea del Sarto,Q5571,Person,[Validation] 画家。
Andreas Scherber,Q500372,Person,[Validation] 人物。
Andreina Griseri,Q93253370,Person,[Validation] 艺术史学家。
Andrew Fountaine,Q4756994,Person,[Category Fix] 原文误标为 Work。 | [Validation] 英国收藏家。
Andromache weeping before Aeneas,A24,Work,[Validation] 画作主题。
André Félibien,Q518705,Person,[Validation] 法国宫廷史官/艺术理论家。
Andrés Marzo,Q4760227,Person,[Validation] 西班牙巴洛克画家。
Angel with the Superscription,Q15181138,Work,[Validation] 圣天使桥雕塑 (贝尼尼)。
Angelica Grill,,Person,[Validation] 人物。
Angelica Griè,R12,Person,[Check Original] 疑似 OCR 错误或极生僻人名。
Angelo Borzelli,Q61472867,Person,[Validation] 历史学家/文学评论家。
Angelo Calogerà,Q3616914,Person,[Validation] 本笃会修士/作家。
Angelo Caroselli,Q1414382,Person,[Validation] 罗马画家。
Angelo Cesi,Q28109298,Person,[Validation] 主教 (Todi)。
Angelo Contarini,R13,Person,[Validation] 威尼斯贵族。
Angelo Crespi,Q3616942,Person,[Validation] 人物。
Angelo Giori,Q536015,Person,[Validation] 枢机主教 (贝尼尼赞助人)。
Angelo Maria Querini,Q536170,Person,[Validation] 枢机主教/学者。
Angelo Michele Colonna,Q2312606,Person,[Validation] 夸德拉图拉画家。
Angelo Pinetti,Q125962639,Person,[Validation] 艺术史学家。
Angelo Querini,Q536447,Person,[Validation] 威尼斯贵族。
Angelo Solerti,Q3617231,Person,[Validation] 音乐史学家/文学评论家。
Angelo Trevisani,Q536726,Person,[Validation] 威尼斯画家。
Angels carrying the Instruments of the Passion,,Work,[Validation] 绘画主题。
Anglesey Abbey,,Place,[Validation] 地名（英国庄园）。
Aniello Falcone,Q546528,Person,[Validation] 那不勒斯画家。
Animals and Figures in the Flemish Style,,Work,[Validation] 画作描述/标题 (Castiglione风格)。
Ann Sutherland Harris,Q18934849,Person,[Validation] 艺术史学家。
Anna Banti,Q470147,Person,[Validation] 作家/艺术史学家 (Roberto Longhi之妻)。
Anna Colonna,Q4766932,Person,[Validation] 巴贝里尼家族成员 (Taddeo Barberini 之妻)。
Anna Maria Luisa de' Medici,Q233181,Person,[Validation] 美第奇家族最后一位直系成员。 | 普法尔茨选帝侯夫人，美第奇家族最后一位直系成员。
Annamaria Gabrielli,R14,Person,[Validation] 学者/档案学家。
Annan Gallery,G145,Organization,[Validation] 画廊。
Anne Claude de Caylus,Q2734012,Person,[Disambiguation] 凯吕斯伯爵。
Anne Claude de Caylus (Comte de Caylus),,Person,[Full Name] 考古学家/收藏家。
Anne Marie d'Orléans,,Person,(Duchess of Savoy) 维托里奥·阿梅迪奥二世之妻。
Anne of Austria,,Person,[Category Fix] 原文误标为 Place。 | [Validation] 奥地利的安妮 (法国王后)。
"Anne, Queen of Great Britain",,Person,[Validation] 安妮女王。
Anne-Marie du Boccage,Q2850913,Person,[Disambiguation] 法国女作家。 | [Validation] 法国作家。
Annibale Albani,,Person,[Reconstruction] 名字倒装复原。
Annibale Carracci,Q7824,Person,[Validation] 博洛尼亚画家。
Annibale Gonzaga,Q566861,Person,[Validation] 曼图亚亲王/将军。
Annibale Laparelli,R15,Person,[Validation] 建筑师/雕塑家 (16世纪)。
Annunciation,A28,Work,[Validation] 圣母领报（主题）。
Anselmo Costadoni,Q4770614,Person,[Validation] 本笃会学者。
Antenor,Q571969,Person (Myth),[Validation] 帕多瓦的建立者。
"Anthony Ashley Cooper, 1st Earl of Shaftesbury",,Person,
"Anthony Ashley Cooper, 3rd Earl of Shaftesbury",,Person,哲学家，《Characteristicks》作者。
"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",Q333294,Person,[Validation] 政治家/慈善家。
Anthony Blunt,Q508392,Person,[Validation] 艺术史学家。
Anthony Morris Clark,Q19753768,Person,[Validation] 艺术史学家 (罗马18世纪艺术专家)。
Anthony Radcliffe,Q59529289,Person,[Validation] 博物馆策展人 (V&A)。
Anthony van Dyck,Q150679,Person,[Validation] 画家。
Anti-papal satire (Alexander VII),,Work/Concept,[Validation] 历史文献/概念。
Antichiesetta (San Marco),,Place,[Context] 圣马可教堂的前厅部分。
Antichità di Palazzi,,Work,"[OCR Fix] 可能是 ""Antichità di Roma"" 或具体的宫殿考古著作。"
Antinous,Q171876,Person,[Validation] 哈德良皇帝的宠臣/神化人物。
Antoine Coypel,Q585926,Person,[Validation] 法国画家。
Antoine Dumesnil,Q2853900,Person,[Validation] 18世纪学者/作家。
Antoine Pesne,Q203758,Person,[Validation] 法国/普鲁士宫廷画家。
Antoine Seilern,Q586987,Person,[Validation] 收藏家 (Count Seilern)。
Antoine-Joseph Dezallier d'Argenville,,Person,[Disambiguation] 极可能是 d'Argenville (理论家/园林专家)。
Anton Domenico Gabbiani,Q1083096,Person,[Validation] 佛罗伦萨画家。
"Anton Florian, Prince of Liechtenstein",,Person,[Full Name] 列支敦士登亲王。
Anton Francesco Farsetti,R16,Person,[Category Fix] 原文误标为 Place。威尼斯收藏家。
Anton Francesco Goli,R17,Person,[Validation] 历史人物。
Anton Maria Zanetti (the Elder),,Person,[Disambiguation] 老扎内蒂 (鉴赏家/版画家)。
Anton Maria Zanetti the Elder,,Person,威尼斯鉴赏家/版画家。
Anton Maria Zanetti the Younger,,Person,威尼斯图书馆员/艺术史学家。
Anton Neumayr,,Person,[Validation] 奥地利艺术评论家。
Anton Raphael Mengs,Q76718,Person,[Validation] 新古典主义画家。 | 德国新古典主义画家。
Antonello da Messina,Q5594,Person,[Validation] 文艺复兴画家。
Antonia Spadafora,Q108935752,Person,[Validation] 西西里贵族。
Antonino Bertolotti,Q5574490,Person,[Validation] 档案学家 (罗马艺术史资料)。
"Antonino Maresca, Duca di Serracapriola",,Person,"[OCR Fix] ""Serracapmula"" -> ""Serracapriola""。那不勒斯外交官。"
Antonino Santangelo,Q124986217,Person,[Validation] 艺术史学家。
Antonio Abbondi (Scarpagnino),,Person,[Validation] 建筑师。
Antonio Baldinucci,,Person,[Disambiguation] 圣安东尼奥·巴尔迪努齐。
Antonio Balestra,Q386500,Person,[Validation] 维罗纳画家。
Antonio Barbaro,,Person,[Reconstruction] 威尼斯贵族/行政官。
Antonio Barberini,Q599744,Person,[Category Fix] 原文误标为 Work。 | [Validation] 枢机主教。
Antonio Barberini (the Elder),,Person,[Disambiguation] 老安东尼奥·巴贝里尼 (Capuchin)。
Antonio Barberini (the Younger),,Person,[Disambiguation] 小安东尼奥·巴贝里尼。
Antonio Battistella,Q61472533,Person,[Validation] 历史学家/档案学家。
Antonio Beccari,Q64779121,Person,[Validation] 诗人/文人。
Antonio Bellucci,Q302062,Person,[Validation] 威尼斯画家。
Antonio Beni,Q3619246,Person,[Validation] 建筑师/工程师。
Antonio Canova,Q5547,Person,[Validation] 新古典主义雕塑家。
Antonio Cappello,Q15731838,Person,[Validation] 威尼斯政治家。
Antonio Corradini,Q601707,Person,[Validation] 雕塑家 (蒙面纱的基督)。
Antonio Dardani,Q2857256,Person,[Validation] 画家。
Antonio Del Grande,Q3619519,Person,[Validation] 罗马建筑师。
Antonio Ermolao Paoletti,Q3619549,Person,[Validation] 威尼斯风俗画家。
Antonio Francesco Gori,Q778529,Person,[Reconstruction] 佛罗伦萨古物学家 (Museum Florentinum)。 | [Validation] 古物学家 (Museum Florentinum)。
Antonio Franchi,Q602053,Person,[Validation] 卢卡画家/理论家。
Antonio Gai,Q15378563,Person,[Validation] 威尼斯雕塑家。
Antonio Genovesi,Q602201,Person,[Validation] 哲学家/经济学家。
Antonio Gherardi,,Person,[Reconstruction] 瑞耶蒂/罗马画家/建筑师。
Antonio Giussani,Q104662012,Person,[Validation] 建筑师 (20世纪初修复者，需确认上下文是否指古代同名者)。
Antonio Grimani,Q65548253,Person,[Validation] 威尼斯总督。
Antonio Joli,Q2404265,Person,[Validation] 维杜塔画家。
Antonio Lombardo,Q602863,Person,[Validation] 雕塑家。
Antonio Longo,Q18352661,Person,[Validation] 牧师/画家 (Trentino)。
Antonio Loredan,Q106473817,Person,[Validation] 威尼斯政治家。
Antonio Lorenzini,Q4776748,Person,[Validation] 版画家。
Antonio Maria Antoniazzi,Q3619823,Person,[Reconstruction] 名字倒装复原。 | [Validation] 天文学家/学者。
Antonio Maria Marini,Q3619844,Person,[Validation] 风景画家。
Antonio Maria Vassallo,Q2857352,Person,[Validation] 热那亚画家。
Antonio Maria Visconti,,Person,米兰贵族。
Antonio Maria Zanetti (the Younger),,Person,[Disambiguation] 小扎内蒂 (图书馆员/学者)。
Antonio Molinari,Q603707,Person,[Validation] 威尼斯画家。
Antonio Morassi,Q19997480,Person,[Validation] 艺术史学家。
Antonio Palomino,Q604011,Person,[Validation] 西班牙画家/传记作家。
Antonio Paluello,R19,Person,[Validation] 威尼斯贵族/收藏家。
Antonio Petito,Q3620034,Person,[Validation] 著名的Pulcinella演员。
Antonio Ruffo,Q88949215,Person,[Validation] 西西里著名收藏家 (Rembrandt赞助人)。
Antonio Schinella Conti (Abate Conti),,Person,[Validation] 作家/哲学家。 | [Validation] 威尼斯作家。
Antonio Triva,Q461670,Person,[Validation] 画家。
Antonio Vallisneri,Q2662898,Person,[Spelling Fix] 科学家/医生。 | [Validation] 科学家/医生。
Antonio Verrio,Q2305594,Person,[Validation] 意大利-英国巴洛克画家。
Antonio Visentini,Q605690,Person,[Validation] 建筑师/版画家。
Antonio Zanchi,Q605785,Person,[Validation] 威尼斯“暗色派”画家。
Antonio Zatta,Q3313574,Person,[Validation] 威尼斯出版商。
Antonio Zucchi,Q374111,Person,[Validation] 画家 (Angelica Kauffman之夫)。
Antonio da Venezia,,Person,可能是方济各会修士/画家。
Antonio degli Effetti,,Person,[Reconstruction] 罗马贵族/收藏家。
Antonio del Rosso,R18,Person,[Validation] 佛罗伦萨建筑师/工程师。
Apelles,Q216822,Person,[Validation] 古希腊画家。
Apollo,Q37340,Person (Myth),[Validation] 神话人物。
Apollo and Daphne,,Work,[Validation] 绘画/雕塑主题。
Apollo and the Muses,A30,Work,[Validation] 绘画主题。
Apollo conducting Frederick Barbarossa's bride,,Work,[Validation] 提埃坡罗壁画 (维尔茨堡)。
Apollo flaying Marsyas,Q67203478,Work,[Validation] 绘画主题。
Apostolic Chamber (Camera Apostolica),,Organization,"[OCR Fix] ""Chamber of Commerc"" 明显错误，应为教廷财务机构。"
Apostolic Palace,Q145093,Place,[Category Fix] 原文误标为 Man-Made Object。 | [Validation] 梵蒂冈宗座宫。
Apostolo Zeno,Q349507,Person,[Validation] 威尼斯诗人/剧作家。
Apotheosis of Aeneas,A33,Work,[Validation] 绘画主题。
Apotheosis of the Medici,Q26700487,Work,[Validation] 卢卡·乔尔达诺壁画。
Apotheosis of the Pisani Family,,Work,[Validation] 提埃坡罗壁画 (Villa Pisani)。
Arcangelo Corelli,Q164475,Person,[Validation] 作曲家。
Archbasilica of Saint John Lateran,,Place,[Disambiguation] 罗马主教座堂是拉特朗圣若望。 | [Validation] 拉特朗圣若望大殿。
Archbishop of Tarsus,,Person,[Category Fix] 原文误标为 Man-Made Object。可能是指某一具体领衔主教（如 Ferdinando d'Adda）。
Archduke Leopold Wilhelm of Austria,Q437295,Person,[Category Fix] 原文误标为 Man-Made Object。 | [Validation] 著名艺术收藏家。
Archiepiscopal Palace,,Place,[Validation] 主教宫。
Archiginnasio of Bologna,,Place,[Validation] 博洛尼亚大学旧址。
Archives Nationales (France),,Place/Organization,[Validation] 法国国家档案馆。
Archivio Comunale,G95,Place,[Validation] 市政档案馆 (需结合上下文，通常指罗马或威尼斯)。
Archivio Comunale di Treviso,G143,Place,[Validation] 特雷维索市政档案馆。
Archivio Mediceo del Principato,,Place,[Validation] 美第奇家族档案。
Archivio Storico Capitolino,,Place,[Validation] 罗马卡比托利欧档案馆。
Archivio Storico per le Province Napoletane,,Work,[Correction] 期刊名 (Journal)，非地点。
Archivio del Governatorato di Roma,,Place/Organization,[Abbreviation] 罗马总督府档案馆。
Archivio della Compagnia di Gesù,,Place/Organization,[OCR Fix] 单词粘连修复。
Archivio di Stato,G67,Place,[Validation] 国家档案馆 (通用)。
Archivio di Stato di Venezia,Q2324776,Place,[Validation] 威尼斯国家档案馆。
Archivio di Stato di Venezia (Sezione Notarile),,Organization,[Category Fix] | [Category Fix] 威尼斯国家档案馆公证处。
Archivio di Stato di Venezia (Stampe),,Organization,[Category Fix] 版画/印刷品部门。
Argus Panoptes,,Person (Myth),[Disambiguation] 神话人物（通常出现在 Io 故事中）。
Ariadne being woken by Love,A36,Work,[Validation] 绘画主题。
Ariccia,Q241744,Place,[Validation] 罗马附近城镇 (Chigi家族领地)。
Aristotle,Q868,Person,[Validation] 哲学家。
Aristotle with a Bust of Homer,Q2404992,Work,[Validation] 伦勃朗画作。
Arlington Street,Q67532188,Place,[Validation] 伦敦街道 (Walpole住所)。
Armand Baschet,Q2861762,Person,[Validation] 法国档案学家 (威尼斯外交档案)。
Armenian College (Rome/Venice),,Place,[Validation] 亚美尼亚学院。
Arnauld Brejon de Lavergnée,Q27499745,Person,[Validation] 现代艺术史学家。
Arnold Hauser,Q365852,Person,[Validation] 艺术社会史学家。
Arrighini (Family/Artist),,Person,"[Context] 可能是 ""Arrighini"" 家族或特定艺术家。"
Arrival of the French Ambassador in Venice,Q5977784,Work,[Validation] 卡纳莱托画作。
Art Critics (Roman),,Group,[Validation] 群体。
Art Institute of Chicago,Q239303,Organization,[Refinement] 博物馆基金。 | [Validation] 芝加哥艺术博物馆。
Art dealers,,Group,[Validation] 职业群体。
