Refined_Formal_Name,Refined_Category,Status/Notes
Andrea Giustiniani,Person,[Validation] 贵族 (Prince of Bassano)。
Andrea Locatelli,Person,[Validation] 罗马风景画家。
Andrea Mantegna,Person,[Validation] 文艺复兴画家。
Andrea Memmo,Person,[Validation] 威尼斯政治家/作家。
Andrea Ottini,Person,"[Check Original] 可能是 ""Pasquale Ottino"" 的误拼，或同名小众人物。"
Andrea Palladio,Person,[Validation] 建筑师。
Andrea Podestà,Person,"[OCR Fix] ""Podest角"" -> ""Podestà""。画家/版画家。"
Andrea Pozzo,Person,[Validation] 耶稣会画家/建筑师。
Andrea Procaccini,Person,[Validation] 画家。
Andrea Querini,Person,[Validation] 威尼斯贵族。
Andrea Sacchi,Person,[Validation] 罗马巴洛克画家。
Andrea Schiavone,Person,[Validation] 威尼斯画家。
Andrea Stazio,Person,威尼斯灰泥艺术家（Stuccatore）。
Andrea Tessier,Person,[Validation] 19世纪威尼斯档案学家。
Andrea Toresani,Person,[Validation] 人物。
Andrea Torresani,Person,威尼斯出版商 (Aldine Press)。
Andrea Tron,Person,[Validation] 威尼斯政治家。
Andrea Vaccaro,Person,[Validation] 那不勒斯画家。
Andrea Zucchi,Person,[Validation] 版画家。
Andrea del Rosso,Person,[Validation] 佛罗伦萨收藏家。 | 佛罗伦萨收藏家。
Andrea del Sarto,Person,[Validation] 画家。
Andreas Scherber,Person,[Validation] 人物。
Andreina Griseri,Person,[Validation] 艺术史学家。
Andrew Fountaine,Person,[Category Fix] 原文误标为 Work。 | [Validation] 英国收藏家。
Andromache weeping before Aeneas,Work,[Validation] 画作主题。
André Félibien,Person,[Validation] 法国宫廷史官/艺术理论家。
Andrés Marzo,Person,[Validation] 西班牙巴洛克画家。
Angel with the Superscription,Work,[Validation] 圣天使桥雕塑 (贝尼尼)。
Angelica Grill,Person,[Validation] 人物。
Angelica Griè,Person,[Check Original] 疑似 OCR 错误或极生僻人名。
Angelo Borzelli,Person,[Validation] 历史学家/文学评论家。
Angelo Calogerà,Person,[Validation] 本笃会修士/作家。
Angelo Caroselli,Person,[Validation] 罗马画家。
Angelo Cesi,Person,[Validation] 主教 (Todi)。
Angelo Contarini,Person,[Validation] 威尼斯贵族。
Angelo Crespi,Person,[Validation] 人物。
Angelo Giori,Person,[Validation] 枢机主教 (贝尼尼赞助人)。
Angelo Maria Querini,Person,[Validation] 枢机主教/学者。
Angelo Michele Colonna,Person,[Validation] 夸德拉图拉画家。
Angelo Pinetti,Person,[Validation] 艺术史学家。
Angelo Querini,Person,[Validation] 威尼斯贵族。
Angelo Solerti,Person,[Validation] 音乐史学家/文学评论家。
Angelo Trevisani,Person,[Validation] 威尼斯画家。
Angels carrying the Instruments of the Passion,Work,[Validation] 绘画主题。
Anglesey Abbey,Place,[Validation] 地名（英国庄园）。
Aniello Falcone,Person,[Validation] 那不勒斯画家。
Animals and Figures in the Flemish Style,Work,[Validation] 画作描述/标题 (Castiglione风格)。
Ann Sutherland Harris,Person,[Validation] 艺术史学家。
Anna Banti,Person,[Validation] 作家/艺术史学家 (Roberto Longhi之妻)。
Anna Colonna,Person,[Validation] 巴贝里尼家族成员 (Taddeo Barberini 之妻)。
Anna Maria Luisa de' Medici,Person,[Validation] 美第奇家族最后一位直系成员。 | 普法尔茨选帝侯夫人，美第奇家族最后一位直系成员。
Annamaria Gabrielli,Person,[Validation] 学者/档案学家。
Annan Gallery,Organization,[Validation] 画廊。
Anne Claude de Caylus,Person,[Disambiguation] 凯吕斯伯爵。
Anne Claude de Caylus (Comte de Caylus),Person,[Full Name] 考古学家/收藏家。
Anne Marie d'Orléans,Person,(Duchess of Savoy) 维托里奥·阿梅迪奥二世之妻。
Anne of Austria,Person,[Category Fix] 原文误标为 Place。 | [Validation] 奥地利的安妮 (法国王后)。
"Anne, Queen of Great Britain",Person,[Validation] 安妮女王。
Anne-Marie du Boccage,Person,[Disambiguation] 法国女作家。 | [Validation] 法国作家。
Annibale Albani,Person,[Reconstruction] 名字倒装复原。
Annibale Carracci,Person,[Validation] 博洛尼亚画家。
Annibale Gonzaga,Person,[Validation] 曼图亚亲王/将军。
Annibale Laparelli,Person,[Validation] 建筑师/雕塑家 (16世纪)。
Annunciation,Work,[Validation] 圣母领报（主题）。
Anselmo Costadoni,Person,[Validation] 本笃会学者。
Antenor,Person (Myth),[Validation] 帕多瓦的建立者。
"Anthony Ashley Cooper, 1st Earl of Shaftesbury",Person,
"Anthony Ashley Cooper, 3rd Earl of Shaftesbury",Person,哲学家，《Characteristicks》作者。
"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",Person,[Validation] 政治家/慈善家。
Anthony Blunt,Person,[Validation] 艺术史学家。
Anthony Morris Clark,Person,[Validation] 艺术史学家 (罗马18世纪艺术专家)。
Anthony Radcliffe,Person,[Validation] 博物馆策展人 (V&A)。
Anthony van Dyck,Person,[Validation] 画家。
Anti-papal satire (Alexander VII),Work/Concept,[Validation] 历史文献/概念。
Antichiesetta (San Marco),Place,[Context] 圣马可教堂的前厅部分。
Antichità di Palazzi,Work,"[OCR Fix] 可能是 ""Antichità di Roma"" 或具体的宫殿考古著作。"
Antinous,Person,[Validation] 哈德良皇帝的宠臣/神化人物。
Antoine Coypel,Person,[Validation] 法国画家。
Antoine Dumesnil,Person,[Validation] 18世纪学者/作家。
Antoine Pesne,Person,[Validation] 法国/普鲁士宫廷画家。
Antoine Seilern,Person,[Validation] 收藏家 (Count Seilern)。
Antoine-Joseph Dezallier d'Argenville,Person,[Disambiguation] 极可能是 d'Argenville (理论家/园林专家)。
Anton Domenico Gabbiani,Person,[Validation] 佛罗伦萨画家。
"Anton Florian, Prince of Liechtenstein",Person,[Full Name] 列支敦士登亲王。
Anton Francesco Farsetti,Person,[Category Fix] 原文误标为 Place。威尼斯收藏家。
Anton Francesco Goli,Person,[Validation] 历史人物。
Anton Maria Zanetti (the Elder),Person,[Disambiguation] 老扎内蒂 (鉴赏家/版画家)。
Anton Maria Zanetti the Elder,Person,威尼斯鉴赏家/版画家。
Anton Maria Zanetti the Younger,Person,威尼斯图书馆员/艺术史学家。
Anton Neumayr,Person,[Validation] 奥地利艺术评论家。
Anton Raphael Mengs,Person,[Validation] 新古典主义画家。 | 德国新古典主义画家。
Antonello da Messina,Person,[Validation] 文艺复兴画家。
Antonia Spadafora,Person,[Validation] 西西里贵族。
Antonino Bertolotti,Person,[Validation] 档案学家 (罗马艺术史资料)。
"Antonino Maresca, Duca di Serracapriola",Person,"[OCR Fix] ""Serracapmula"" -> ""Serracapriola""。那不勒斯外交官。"
Antonino Santangelo,Person,[Validation] 艺术史学家。
Antonio Abbondi (Scarpagnino),Person,[Validation] 建筑师。
Antonio Baldinucci,Person,[Disambiguation] 圣安东尼奥·巴尔迪努齐。
Antonio Balestra,Person,[Validation] 维罗纳画家。
Antonio Barbaro,Person,[Reconstruction] 威尼斯贵族/行政官。
Antonio Barberini,Person,[Category Fix] 原文误标为 Work。 | [Validation] 枢机主教。
Antonio Barberini (the Elder),Person,[Disambiguation] 老安东尼奥·巴贝里尼 (Capuchin)。
Antonio Barberini (the Younger),Person,[Disambiguation] 小安东尼奥·巴贝里尼。
Antonio Battistella,Person,[Validation] 历史学家/档案学家。
Antonio Beccari,Person,[Validation] 诗人/文人。
Antonio Bellucci,Person,[Validation] 威尼斯画家。
Antonio Beni,Person,[Validation] 建筑师/工程师。
Antonio Canova,Person,[Validation] 新古典主义雕塑家。
Antonio Cappello,Person,[Validation] 威尼斯政治家。
Antonio Corradini,Person,[Validation] 雕塑家 (蒙面纱的基督)。
Antonio Dardani,Person,[Validation] 画家。
Antonio Del Grande,Person,[Validation] 罗马建筑师。
Antonio Ermolao Paoletti,Person,[Validation] 威尼斯风俗画家。
Antonio Francesco Gori,Person,[Reconstruction] 佛罗伦萨古物学家 (Museum Florentinum)。 | [Validation] 古物学家 (Museum Florentinum)。
Antonio Franchi,Person,[Validation] 卢卡画家/理论家。
Antonio Gai,Person,[Validation] 威尼斯雕塑家。
Antonio Genovesi,Person,[Validation] 哲学家/经济学家。
Antonio Gherardi,Person,[Reconstruction] 瑞耶蒂/罗马画家/建筑师。
Antonio Giussani,Person,[Validation] 建筑师 (20世纪初修复者，需确认上下文是否指古代同名者)。
Antonio Grimani,Person,[Validation] 威尼斯总督。
Antonio Joli,Person,[Validation] 维杜塔画家。
Antonio Lombardo,Person,[Validation] 雕塑家。
Antonio Longo,Person,[Validation] 牧师/画家 (Trentino)。
Antonio Loredan,Person,[Validation] 威尼斯政治家。
Antonio Lorenzini,Person,[Validation] 版画家。
Antonio Maria Antoniazzi,Person,[Reconstruction] 名字倒装复原。 | [Validation] 天文学家/学者。
Antonio Maria Marini,Person,[Validation] 风景画家。
Antonio Maria Vassallo,Person,[Validation] 热那亚画家。
Antonio Maria Visconti,Person,米兰贵族。
Antonio Maria Zanetti (the Younger),Person,[Disambiguation] 小扎内蒂 (图书馆员/学者)。
Antonio Molinari,Person,[Validation] 威尼斯画家。
Antonio Morassi,Person,[Validation] 艺术史学家。
Antonio Palomino,Person,[Validation] 西班牙画家/传记作家。
Antonio Paluello,Person,[Validation] 威尼斯贵族/收藏家。
Antonio Petito,Person,[Validation] 著名的Pulcinella演员。
Antonio Ruffo,Person,[Validation] 西西里著名收藏家 (Rembrandt赞助人)。
Antonio Schinella Conti (Abate Conti),Person,[Validation] 作家/哲学家。 | [Validation] 威尼斯作家。
Antonio Triva,Person,[Validation] 画家。
Antonio Vallisneri,Person,[Spelling Fix] 科学家/医生。 | [Validation] 科学家/医生。
Antonio Verrio,Person,[Validation] 意大利-英国巴洛克画家。
Antonio Visentini,Person,[Validation] 建筑师/版画家。
Antonio Zanchi,Person,[Validation] 威尼斯“暗色派”画家。
Antonio Zatta,Person,[Validation] 威尼斯出版商。
Antonio Zucchi,Person,[Validation] 画家 (Angelica Kauffman之夫)。
Antonio da Venezia,Person,可能是方济各会修士/画家。
Antonio degli Effetti,Person,[Reconstruction] 罗马贵族/收藏家。
Antonio del Rosso,Person,[Validation] 佛罗伦萨建筑师/工程师。
Apelles,Person,[Validation] 古希腊画家。
Apollo,Person (Myth),[Validation] 神话人物。
Apollo and Daphne,Work,[Validation] 绘画/雕塑主题。
Apollo and the Muses,Work,[Validation] 绘画主题。
Apollo conducting Frederick Barbarossa's bride,Work,[Validation] 提埃坡罗壁画 (维尔茨堡)。
Apollo flaying Marsyas,Work,[Validation] 绘画主题。
Apostolic Chamber (Camera Apostolica),Organization,"[OCR Fix] ""Chamber of Commerc"" 明显错误，应为教廷财务机构。"
Apostolic Palace,Place,[Category Fix] 原文误标为 Man-Made Object。 | [Validation] 梵蒂冈宗座宫。
Apostolo Zeno,Person,[Validation] 威尼斯诗人/剧作家。
Apotheosis of Aeneas,Work,[Validation] 绘画主题。
Apotheosis of the Medici,Work,[Validation] 卢卡·乔尔达诺壁画。
Apotheosis of the Pisani Family,Work,[Validation] 提埃坡罗壁画 (Villa Pisani)。
Arcangelo Corelli,Person,[Validation] 作曲家。
Archbasilica of Saint John Lateran,Place,[Disambiguation] 罗马主教座堂是拉特朗圣若望。 | [Validation] 拉特朗圣若望大殿。
Archbishop of Tarsus,Person,[Category Fix] 原文误标为 Man-Made Object。可能是指某一具体领衔主教（如 Ferdinando d'Adda）。
Archduke Leopold Wilhelm of Austria,Person,[Category Fix] 原文误标为 Man-Made Object。 | [Validation] 著名艺术收藏家。
Archiepiscopal Palace,Place,[Validation] 主教宫。
Archiginnasio of Bologna,Place,[Validation] 博洛尼亚大学旧址。
Archives Nationales (France),Place/Organization,[Validation] 法国国家档案馆。
Archivio Comunale,Place,[Validation] 市政档案馆 (需结合上下文，通常指罗马或威尼斯)。
Archivio Comunale di Treviso,Place,[Validation] 特雷维索市政档案馆。
Archivio Mediceo del Principato,Place,[Validation] 美第奇家族档案。
Archivio Storico Capitolino,Place,[Validation] 罗马卡比托利欧档案馆。
Archivio Storico per le Province Napoletane,Work,[Correction] 期刊名 (Journal)，非地点。
Archivio del Governatorato di Roma,Place/Organization,[Abbreviation] 罗马总督府档案馆。
Archivio della Compagnia di Gesù,Place/Organization,[OCR Fix] 单词粘连修复。
Archivio di Stato,Place,[Validation] 国家档案馆 (通用)。
Archivio di Stato di Venezia,Place,[Validation] 威尼斯国家档案馆。
Archivio di Stato di Venezia (Sezione Notarile),Organization,[Category Fix] | [Category Fix] 威尼斯国家档案馆公证处。
Archivio di Stato di Venezia (Stampe),Organization,[Category Fix] 版画/印刷品部门。
Argus Panoptes,Person (Myth),[Disambiguation] 神话人物（通常出现在 Io 故事中）。
Ariadne being woken by Love,Work,[Validation] 绘画主题。
Ariccia,Place,[Validation] 罗马附近城镇 (Chigi家族领地)。
Aristotle,Person,[Validation] 哲学家。
Aristotle with a Bust of Homer,Work,[Validation] 伦勃朗画作。
Arlington Street,Place,[Validation] 伦敦街道 (Walpole住所)。
Armand Baschet,Person,[Validation] 法国档案学家 (威尼斯外交档案)。
Armenian College (Rome/Venice),Place,[Validation] 亚美尼亚学院。
Arnauld Brejon de Lavergnée,Person,[Validation] 现代艺术史学家。
Arnold Hauser,Person,[Validation] 艺术社会史学家。
Arrighini (Family/Artist),Person,"[Context] 可能是 ""Arrighini"" 家族或特定艺术家。"
Arrival of the French Ambassador in Venice,Work,[Validation] 卡纳莱托画作。
Art Critics (Roman),Group,[Validation] 群体。
Art Institute of Chicago,Organization,[Refinement] 博物馆基金。 | [Validation] 芝加哥艺术博物馆。
Art dealers,Group,[Validation] 职业群体。
Art exhibitions,Event,[Validation] 概念/事件。
Art patronage in 17th-century Munich,Concept,[Category Fix] 艺术赞助研究主题。
Arte dei Salumieri,Group,[Category Fix] 威尼斯行会（咸肉商）。
Artemisia Gentileschi,Person,[Validation] 画家。
Artist's position in society (Concept),Concept,[Validation] 艺术理论议题。
Artistic temperament (Concept),Concept,[Validation] 艺术理论概念。
Arts Graphiques de la Cité (AGRACI),Organization,[Validation] 巴黎摄影/出版机构。
Arturo Jahn Rusconi,Person,[Validation] 艺术史学家。
Ascanio Filomarino,Person,[Disambiguation] 那不勒斯大主教。 | [Validation] 那不勒斯枢机主教。
Ascanius Shooting the Stag of Sylvia,Work,[Validation] 克劳德·洛兰画作。
Asclepius,Person (Myth),[Validation] 医神。
Ascoli Piceno,Place,[Validation] 城市。
Ashmolean Museum,Place,[Validation] 牛津博物馆。
Assumption of the Virgin,Work,[Validation] 绘画主题。
Asti,Place,[Validation] 城市。
Attila the Hun,Person,[Validation] 匈人王 (出现在拉斐尔壁画中)。
Augustin Lehmann,Person,[Validation] 人物 (可能指 19世纪法国画家 Augustin Lehmann 或 Henri Lehmann)。
Augustinian Monastery Altarpiece,Work,[Validation] 祭坛画。
Augustinian church,Place,[Validation] 教堂类型/地点。
Augustinian convent,Place,[Validation] 修道院。
Augusto Bazzoni,Person,[Validation] 历史学家 (威尼斯档案)。
Augusto Pierantoni,Person,[Validation] 法学家/政治家。
Augustus,Person,[Disambiguation] 罗马皇帝奥古斯都。
Augustus II the Strong,Person,[Disambiguation] 奥古斯都二世。 | [Validation] 萨克森选帝侯/波兰国王。
Augustus III of Poland,Person,[Validation] 同上。 | [Validation] 奥古斯都三世。
Aurelio Gotti,Person,[Validation] 19世纪艺术作家 (Uffizi画廊)。
Aurelio Lepre,Person,[Validation] 历史学家 (20世纪)。
Aurelio Rezzonico,Person,[Validation] 威尼斯贵族 (教皇克莱门特十三世家族)。
Aurora,Person (Myth)/Work,[Validation] 黎明女神或Guercino壁画。
Austrian National Library,Place,[Validation] 奥地利国家图书馆。
Avignon,Place,[Validation] 城市。
Avviso,Work,"[Category Fix] ""Avviso"" 是新闻简报/公报 (Dispatch)，原文误标为 Place。"
Azzo d'Este (Marquis),Person,[Category Fix] 原文误标为 Work。
Babylon,Place,[Validation] 地名。
Bacchanal,Work,[Validation] 绘画主题 (提香/普桑)。
Bacchanalia,Event/Work,[Validation] 节日/绘画主题。
Bacchus,Person (Myth),[Validation] 酒神。
Bacchus and Ariadne,Work,[Validation] 提香画作。
Baccio Bandinelli,Person,[Validation] 佛罗伦萨雕塑家。
Baccio Ciarpi,Person,[Validation] 托斯卡纳画家 (科尔托纳的老师)。
