Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
"Bassanino, Virgilio",Virgin (painting by Bassanino),Work,"[OCR Fix] ""Virgilio"" 极可能是 ""Virgin"" (圣母) 的误读，""Bassanino"" 指画家。原文倒装且OCR错误。"
"Bedford, John, 4th Duke of","John Russell, 4th Duke of Bedford",Person,[Disambiguation] 补全全名。
"Bentivoglio, Ippotilo",Ippolito Bentivoglio,Person,"[OCR Fix] 修正拼写 ""Ippotilo"" -> ""Ippolito""。"
"Bermis, Cardinal de",François-Joachim de Pierre de Bernis,Person,"[OCR Fix] 修正拼写 ""Bermis"" -> ""Bernis""。"
"Berreguete, Pedro",Pedro Berruguete,Person,"[OCR Fix] 修正拼写 ""Berreguete"" -> ""Berruguete""。"
"Bianconi, G. L.",Giovanni Ludovico Bianconi,Person,[Disambiguation] 补全首字母。
"Biffi, Giambattista",Giambattista Biffi,Person,[Formatting] 标准格式。
"Boccage, Mme de",Anne-Marie du Boccage,Person,[Disambiguation] 补全全名。
Bombelli Sebastiano,Sebastiano Bombelli,Person,[Formatting] 调整倒装。
"Boncampagni, Ugo (Pope Gregory XIII)",Ugo Boncompagni (Gregory XIII),Person,"[OCR Fix] 修正拼写 ""Boncampagni"" -> ""Boncompagni""。"
Bonfiglioli collection,Bonfiglioli Collection,Collection/Work,[Category Fix] 艺术收藏。
"Boscovich, P.",Roger Joseph Boscovich,Person,"[Disambiguation] ""P."" 指 Padre (神父)。"
"Bracciano, Duke of",Duke of Bracciano (Orsini),Person,[Disambiguation] 指 Orsini 家族公爵。
"Bracciano, Paolo Giordano I Orsini, Duke of",Paolo Giordano I Orsini,Person,[Formatting] 标准格式。
"Bracciano, Paolo Giordona II Orsini, Duke of",Paolo Giordano II Orsini,Person,"[OCR Fix] 修正拼写 ""Giordona"" -> ""Giordano""。"
"Breughel, Abram",Abraham Brueghel,Person,[Standardization] 规范化拼写。
"Breval, John",John Breval,Person,[Formatting] 标准格式。
"Brugiori, Domenico",Domenico Brugieri,Person,"[OCR Fix] 修正拼写 ""Brugiori"" -> ""Brugieri"" (可能是 Domenico Maria Brugieri)。"
"Buckingham, Charles Villiers, Duke of","Charles Villiers, 1st Duke of Buckingham",Person,[Standardization] 添加爵位序数。
"Buckingham, John Sheffield, Duke of","John Sheffield, 1st Duke of Buckingham",Person,[Standardization] 添加爵位序数。
"Cadani, Stefano",Stefano Catani,Person,"[OCR Fix] ""Cadani"" 疑为 ""Catani"" (18世纪画家) 的误读。"
"Camerino, Giovanni Angelo da",Giovanni Angelo d'Antonio (da Camerino),Person,[Disambiguation] 15世纪画家。
"Canal, Gerolamo",Gerolamo Canal,Person,[Formatting] 标准格式。
"Canale, Procuratore",Procuratore Canale,Person,[Formatting] 威尼斯官员头衔。
"Caprara, Marshal",Aeneas de Caprara,Person,[Disambiguation] 奥地利陆军元帅。
"Caraboli, Giacomo",Giacomo Caraboli,Person,"[Review] 名字存疑，可能是 ""Giacomo Carlieri"" 或 ""Giacomo Ceruti"" 的严重OCR错误，暂保留。"
"Carandini, Count Camillo",Camillo Carandini,Person,[Formatting] 标准格式。
"Carandini, Marchesa Elisa",Elisa Carandini,Person,[Category Fix] 修正分类。
"Carlisle, Earl of",Earl of Carlisle,Person,[Formatting] 标准格式。
"Carlone, Gianandrea",Gianandrea Carlone,Person,[Formatting] 标准格式。
"Castro, First and Second Wars of",Wars of Castro,Event/Work,[Category Fix] 历史事件。
"Castro, Jacomo di",Giacomo di Castro,Person,"[OCR Fix] ""Jacomo"" -> ""Giacomo""。"
Catherine the Great of Russia,Catherine II of Russia,Person,[Standardization] 规范化君主名称。
"Cattaneo, Giovanni de",Giovanni de Cattaneo,Person,[Formatting] 标准格式。
"Celle, Georg Wilhelm Duke of","George William, Duke of Brunswick-Lüneburg",Person,[Disambiguation] 策勒公爵。
"Chandos, Grey Brydges, 5th Lord","Grey Brydges, 5th Baron Chandos",Person,[Standardization] 规范化爵位。
"Chandos, James Brydges, 1st Duke of","James Brydges, 1st Duke of Chandos",Person,[Formatting] 标准格式。
"Chi soffre, speri","Chi soffre, speri (Opera)",Work,[Category Fix] 误标为人物，实为歌剧。
"Chiari, Giuseppe and Tommaso",Giuseppe Chiari / Tommaso Chiari,Person,[Split Required] 包含两位画家，需拆分。
"Chigi, Agostino 'il Magnifico'",Agostino Chigi,Person,[Formatting] 标准格式。
"Christina, Queen of Sweden","Christina, Queen of Sweden",Person,[Formatting] 标准格式。
Churches of religious orders,Churches of Religious Orders,Concept/Work,[Category Fix] 建筑/概念集合。
Cibo palace,Palazzo Cybo,Place,"[OCR Fix] ""Cibo"" -> ""Cybo""。修正分类为 Place (建筑)。"
"Cimaroli, Giovan Battista",Giovan Battista Cimaroli,Person,[Formatting] 标准格式。
"Città di Castello, Matteo da",Matteo da Città di Castello,Person,"[OCR Fix] 修复乱码 ""Citt角"" 为 ""Città""。"
"Clemens August, Archbishop-Elector of Cologne",Clemens August of Bavaria,Person,[Category Fix] 修正分类。
"Clostermann, John",John Closterman,Person,"[OCR Fix] ""Clostermann"" -> ""Closterman""。"
"Colonna, Marc'Antonio",Marcantonio Colonna,Person,[Standardization] 规范化拼写。
"Concina, Padre Daniele",Daniele Concina,Person,[Formatting] 去除头衔。
"Conti, Michaelangelo (Pope Innocent XIII)",Pope Innocent XIII (Michelangelo Conti),Person,[Standardization] 优先使用教皇名号。
Corner family,Cornaro family,Group,"[Category Fix] 误标为地点，实为家族/群体。标准化拼写 ""Corner"" -> ""Cornaro""。"
"Cortese, Giacomo and Guglielmo",Giacomo Cortese / Guglielmo Cortese,Person,[Split Required] 兄弟画家，需拆分。
"Courtois, Jacques and Guillaume",Jacques Courtois / Guillaume Courtois,Person,[Split Required] 兄弟画家 (即 Cortese 兄弟的法语名)，需拆分。
"Crequi, Duc de",François de Créquy,Person,[Disambiguation] 补全全名。
"Crescenzi, Pietro Paolo",Pietro Paolo Crescenzi,Person,[Formatting] 标准格式。
"Critics, Roman",Roman Critics,Group,[Category Fix] 群体概念。
"Croissy, M. de","Charles Colbert, marquis de Croissy",Person,[Disambiguation] 路易十四的外交官。
"Curli, Girolamo",Girolamo Curti,Person,"[OCR Fix] ""Curli"" -> ""Curti"" (即 Il Dentone)。"
Customs duty on pictures,Customs Duty on Pictures,Concept/Work,[Category Fix] 经济/法律概念。
"Devonshire, Duke of",Duke of Devonshire,Person,[Formatting] 标准格式。
"Dolfin, Daniele (Archbishop of Udine)",Daniele Dolfin (1653–1704),Person,[Category Fix] 误标为作品。补全身份。
"Dolfin, Daniele III",Daniele III Dolfin,Person,[Formatting] 标准格式。
"Douglas, Hamilton, Marquis of","William Douglas, Duke of Hamilton",Person,[Disambiguation] 可能是指 Hamilton 家族成员，需结合上下文。
"Dubois, Ambrose",Ambroise Dubois,Person,"[OCR Fix] ""Ambrose"" -> ""Ambroise""。"
Dutch artists,Dutch Artists,Group,[Category Fix] 误标为地点，应为群体。
"Duyvelant, Jacques",Jacques Duyvelant,Person,[Status] 名字保留，可能是织毯工匠。
"Effetti, Antonio degli",Antonio degli Effetti,Person,[Formatting] 标准格式。
"Emo, Procurator",Procurator Emo,Person,[Formatting] 威尼斯官员。
English patronage,English Patronage,Concept/Work,[Category Fix] 艺术赞助概念。
English tourists in Italy,English Tourists in Italy,Group/Concept,[Category Fix] 群体或现象。
"Este, Azzo, Marchese d'",Azzo d'Este,Person,[Category Fix] 修正分类。
"Estrées, Duc d'",Duc d'Estrées,Person,"[OCR Fix] 修复乱码 ""Estr谷es"" 为 ""Estrées""。"
"Exeter, 5th Lord","John Cecil, 5th Earl of Exeter",Person,[Disambiguation] 补全全名。
Fantasy and reason,Fantasy and Reason,Concept/Work,[Category Fix] 艺术理论概念。
"Farnese, Odoardo, Duke of Parma",Odoardo I Farnese,Person,[Standardization] 帕尔马公爵。
"Farnese, Ranuccio II, Duke of Parma",Ranuccio II Farnese,Person,[Standardization] 帕尔马公爵。
"Fedini, Domenico",Domenico Fedini,Person,[Formatting] 标准格式。
"Ferrerio, Andrea",Andrea Ferreri,Person,"[OCR Fix] 修正拼写 ""Ferrerio"" -> ""Ferreri"" (17-18世纪雕塑家)。"
Flemish artists in Rome,Flemish Artists in Rome,Group,[Category Fix] 误标为地点，应为群体。
"Fontana, Conte Francesco",Francesco Fontana,Person,[Category Fix] 误标为地点。建筑师 Carlo Fontana 之子。
Foscarini family,Foscarini family,Group,[Category Fix] 误标为地点，应为家族。
"Fratta, D. M.",Domenico Maria Fratta,Person,[Disambiguation] 补全首字母 (波洛尼亚画家/绘图师)。
"Frederick Augustus I, Elector of Saxony",Augustus II the Strong,Person,[Standardization] 萨克森选帝侯腓特烈·奥古斯特一世（即波兰国王奥古斯特二世）。
"Frederick Augustus II, Elector of Saxony",Augustus III of Poland,Person,[Standardization] 萨克森选帝侯腓特烈·奥古斯特二世（即波兰国王奥古斯特三世）。
French hostility to Italian art in the 17th century,French Hostility to Italian Art,Concept/Work,[Category Fix] 历史/艺术批评概念。
French patronage,French Patronage,Concept/Work,[Category Fix] 艺术赞助概念。
"Furnaletto, Lodovico",Lodovico Furlanetto,Person,"[OCR Fix] 修正拼写 ""Furnaletto"" -> ""Furlanetto"" (威尼斯版画商)。"
"Gabburri, Francesco",Francesco Maria Niccolò Gabburri,Person,[Category Fix] 误标为地点。佛罗伦萨收藏家。
"Gabrieli, Lodovico",Lodovico Gabrielli,Person,"[OCR Fix] ""Gabrieli"" -> ""Gabrielli""。"
"Garganego, Girolamo",Girolamo Garganego,Person,[Formatting] 标准格式。
Gazzeta Veneta,Gazzetta Veneta,Work,"[OCR Fix] ""Gazzeta"" -> ""Gazzetta"" (Gasparo Gozzi 的报纸)。"
"George I, King of England",George I of Great Britain,Person,[Standardization] 英国国王。
"George III, King of England",George III of the United Kingdom,Person,[Standardization] 英国国王。
German patronage,German Patronage,Concept/Work,[Category Fix] 艺术赞助概念。
"German princes, taste in art",German Princes' Taste,Concept/Work,[Category Fix] 误标为人物，实为概念。
"Ghibbesio, Jacopo",James Gibbs (Jacopo Ghibbes),Person,[Disambiguation] 苏格兰建筑师 James Gibbs 的意大利语化名字。
Giovanelli collection,Giovanelli Collection,Collection/Work,[Category Fix] 艺术收藏。
"Giustiniani, Abbate Michele",Michele Giustiniani,Person,[Formatting] 去除头衔。
"Gloucester, William Henry, 1st Duke of","Prince William Henry, Duke of Gloucester",Person,[Disambiguation] 乔治三世的弟弟。
"Gozadini, Bonisezio",Bonisezio Gozzadini,Person,"[OCR Fix] ""Gozadini"" -> ""Gozzadini""。"
Grassi collection,Grassi Collection,Collection/Work,[Category Fix] 艺术收藏。
"Greiffenklau, Karl Philip von",Karl Philipp von Greiffenclau,Person,[Disambiguation] 维尔茨堡采邑主教。
"Grill, Angelica",Angelica Grill,Person,[Context] 可能指瑞典 Grill 家族成员 (如 Anna Johanna Grill)，与 Gustavus III 相关。
"Grimani, Doge",Doge Grimani,Person,[Disambiguation] 可能是 Marino Grimani 或 Pietro Grimani，需结合上下文。
"Gruppello, Gabriel",Gabriel Grupello,Person,"[OCR Fix] ""Gruppello"" -> ""Grupello"" (佛兰芒雕塑家)。"
Gustavus III of Sweden,Gustav III of Sweden,Person,[Standardization] 瑞典国王。
Hapsburg collections from Prague,Hapsburg Collections (Prague),Collection/Work,[Category Fix] 艺术收藏历史。
Hapsburg patronage of Venetian artists,Hapsburg Patronage,Concept/Work,[Category Fix] 艺术赞助概念。
"Helmbrecker, Theodor",Dirk Helmbreker,Person,"[Disambiguation] ""Theodor"" 是其名字的德语/拉丁语变体，通称 Dirk。"
"Henrietta Maria, Queen of England",Henrietta Maria of France,Person,[Standardization] 查理一世的王后。
Indecency and the erotic,Indecency and the Erotic,Concept/Work,[Category Fix] 艺术批评概念。
Indecency in art,Indecency in Art,Concept/Work,[Category Fix] 艺术批评概念。
James III of England,James Francis Edward Stuart,Person,"[Standardization] ""老王位觊觎者""，自称詹姆斯三世。"
Johann Georg III of Saxony,"John George III, Elector of Saxony",Person,[Standardization] 萨克森选帝侯。
"Johann Wilhelm, Elector Palatinate","Johann Wilhelm, Elector Palatine",Person,[Standardization] 普法尔茨选帝侯。
"John Sobieski, King of Poland",John III Sobieski,Person,[Standardization] 波兰国王。
"La Vrillière, Louis Phélipeaux de","Louis Phélypeaux, marquis de La Vrillière",Person,[OCR Fix] 严重乱码修复。
Labia collection,Labia Collection,Collection/Work,[Category Fix] 艺术收藏。
"Landscapes, varying reactions to",Reactions to Landscapes,Concept/Work,[Category Fix] 误标为人物，实为概念。
"LeBlon, Jakob Christoffel",Jakob Christof Le Blon,Person,[Formatting] 彩色印刷发明者。
"Leopold I, Grand Duke of Tuscany","Leopold II, Holy Roman Emperor",Person,[Disambiguation] 托斯卡纳大公利奥波德一世即后来的神圣罗马皇帝利奥波德二世。
"Leopold Wilhelm, Archduke",Archduke Leopold Wilhelm of Austria,Person,[Category Fix] 误标为作品。著名艺术收藏家。
"Liechtenstein, Prince Wenzel of",Wenzel von Liechtenstein,Person,[Disambiguation] 列支敦士登亲王约瑟夫·文策尔 (Josef Wenzel)。
"Lodoli, Padre Carlo",Carlo Lodoli,Person,[Formatting] 威尼斯建筑理论家。
"Longhi, Martino, the Elder",Martino Longhi the Elder,Person,[Formatting] 标准格式。
"Lorca, Bernardino",Bernardino Llorca (Historian),Person,[OCR Fix/Review] 疑似现代历史学家 Bernardino Llorca (S.J.) 的误拼，或未知人物。
"Lorraine, Duke of",Duke of Lorraine,Person,[Standardization] 洛林公爵（具体指代需上下文，可能是 Leopold）。
"Louisa Ulrika, Queen of Sweden",Louisa Ulrika of Prussia,Person,[Standardization] 瑞典王后。
"Lyss, Jan",Johann Liss,Person,"[Standardization] ""Jan Lyss"" 是其名字的变体。"
"Madrid, Venetian artists in",Venetian Artists in Madrid,Group,[Category Fix] 误标为人物，应为群体/现象。
Manin country house,Villa Manin,Place,[Standardization] 位于 Passariano 的马宁别墅。
Manin family,Manin family,Group,[Category Fix] 误标为地点，应为家族。
"Manin, Doge Lodovico",Ludovico Manin,Person,[Formatting] 末代威尼斯总督。
"Mantua, Ferdinando Carlo, Duke of","Ferdinando Carlo Gonzaga, Duke of Mantua",Person,[Standardization] 曼托瓦公爵。
"Mantua, Ferdinando, Duke of","Ferdinando Gonzaga, Duke of Mantua",Person,[Standardization] 曼托瓦公爵。
Marchands-amateurs,Marchands-amateurs,Group/Concept,"[Category Fix] 误标为作品，指""商人-业余爱好者""群体。"
"Marchesi, Raffaelo",Raffaello Marchesi,Person,[Category Fix] 误标为作品。可能是19世纪艺术史学家。
"Maria Teresa, Holy Roman Empress",Maria Theresa,Person,[Standardization] 奥地利女大公/神圣罗马帝国皇后。
"Marlborough, Duchess of","Sarah Churchill, Duchess of Marlborough",Person,[Disambiguation] 补全全名。
"Marucelli, Orazio",Orazio Marucelli,Person,[Formatting] 佛罗伦萨著名家族。
"Matina, L.",Leone Matina,Person,[Disambiguation] 可能是威尼斯文人 Leone Matina (active 17th c.)。
"Max Emmanuel, Elector of Bavaria","Maximilian II Emanuel, Elector of Bavaria",Person,[Standardization] 巴伐利亚选帝侯。
"Maximilian, Prince, Elector of Bavaria","Maximilian I, Elector of Bavaria",Person,[Disambiguation] 可能是马克西米利安一世或二世，结合上下文区分。
"Mazenta, Ambrogio",Ambrogio Mazenta,Person,[Formatting] 巴拿巴会修士和建筑师。
"Mecklenburg, Christian Louis, Duke of","Christian Louis, Duke of Mecklenburg",Person,[Standardization] 梅克伦堡公爵。
"Medici, Ferdinando II de', Grand Duke of Tuscany",Ferdinando II de' Medici,Person,[Formatting] 托斯卡纳大公。
"Medici, Francesco Maria de'",Francesco Maria de' Medici,Person,[Category Fix] 误标为地点，应为人物。
"Medici, Grand Duke Gian Gastone de'",Gian Gastone de' Medici,Person,[Formatting] 托斯卡纳大公。
"Medici, Grand Prince Ferdinand de'",Ferdinando de' Medici (Grand Prince),Person,[Formatting] 大公储费迪南多 (未即位)。
"Melanconici, Niccolò",Niccolò Malinconico,Person,"[OCR Fix] ""Melanconici"" -> ""Malinconico"", ""辰"" -> ""ò""。"
Miani family,Miani family,Group,[Category Fix] 误标为地点，应为家族。
"Mingardi, Francesco",Francesco Mingardi,Person,[Category Fix] 误标为地点。
"Minitti, Mario",Mario Minniti,Person,"[OCR Fix] ""Minitti"" -> ""Minniti"" (卡拉瓦乔的朋友/模特)。"
"Modena, Duke of",Duke of Modena,Person,[Standardization] 摩德纳公爵 (d'Este)。
"Monnot, Pierre",Pierre-Étienne Monnot,Person,[Disambiguation] 法国雕塑家。
"Monte, Cardinal Francesco del",Francesco Maria del Monte,Person,[Category Fix] 误标为地点。卡拉瓦乔的赞助人。
"Montefeltre, Federigo da",Federico da Montefeltro,Person,"[OCR Fix] ""Montefeltre"" -> ""Montefeltro""。"
"Monterey, Count of",Count of Monterrey,Person,"[OCR Fix] ""Monterey"" -> ""Monterrey"" (西班牙总督)。"
"Montorsoli, Giovanni",Giovanni Angelo Montorsoli,Person,[Disambiguation] 米开朗基罗的学生。
"Morandi, Giammaria",Giovanni Maria Morandi,Person,[Standardization] 画家。
"Moscheni, Pietro",Pietro Moschini,Person,"[OCR Fix] ""Moscheni"" -> ""Moschini"" (可能是新古典主义雕塑家)。"
"Moschini, Abate G. A.",Giannantonio Moschini,Person,[Disambiguation] 威尼斯艺术史学家。
"Moscow, Venetian painting in",Venetian Painting in Moscow,Concept/Place,[Category Fix] 误标为人物，实为主题。
"Motteux, Pierre",Peter Anthony Motteux,Person,[Disambiguation] 法裔英国作家/剧作家。
"Munich, Nymphenburg palace",Nymphenburg Palace,Place,[Category Fix] 修正并重分类为地点。
"Munich, patronage in 17th century",Patronage in Munich,Concept/Work,[Category Fix] 误标为人物，实为概念。
"Muratori, L. A.",Ludovico Antonio Muratori,Person,[Disambiguation] 意大利历史学家。
"Nadal, Jerome",Jerónimo Nadal,Person,[Category Fix] 误标为地点。耶稣会士。
"Nappi, P. Gerolamo",Padre Gerolamo Nappi,Person,[Formatting] 17世纪罗马神父/作家。
Nationalism and art,Nationalism and Art,Concept/Work,[Category Fix] 理论概念。
"Neapolitan painting, diffusion of",Diffusion of Neapolitan Painting,Concept/Work,[Category Fix] 误标为人物，实为概念。
"Negroni, Cardinal Giovan Francesco",Giovanni Francesco Negroni,Person,[Category Fix] 误标为地点。
Nepotism in Rome,Nepotism,Concept/Work,[Category Fix] 误标为地点，实为政治/社会概念。
"Newcastle, Thomas Pelham-Holles, Duke of","Thomas Pelham-Holles, 1st Duke of Newcastle",Person,[Standardization] 英国政治家。
"Newcastle, William Cavendish, Duke of","William Cavendish, 1st Duke of Newcastle",Person,[Standardization] 17世纪保皇党将领。
"Non, Dominique De (Dominique Vivant-Denon)",Vivant Denon,Person,[Standardization] 法国艺术家、考古学家和博物馆馆长。
"Nordiall, John",John Nordiall,Person,[Review] 罕见名字，可能是误拼或不知名人物，暂保留。
"Novaroli, P. Octavio",Padre Ottavio Novaroli,Person,[Formatting] 补全头衔 (Padre)。
"Olina, P.",Padre Olina,Person,[Formatting] 补全头衔。
Opera in Rome,Opera in Rome,Concept/Work,[Category Fix] 误标为地点，实为艺术活动/概念。
"Orleans, Margherite d'",Marguerite Louise d'Orléans,Person,[Disambiguation] 托斯卡纳大公夫人。
"Orleans, Philippe d', Regent","Philippe II, Duke of Orléans",Person,[Standardization] 法国摄政王。
"Ortes, Abate Giuseppe Maria",Giammaria Ortes,Person,[Standardization] 威尼斯作家和经济学家。
"Osimo, Don Cesare Leopardi di",Cesare Leopardi di Osimo,Person,[Formatting] 标准格式。
"Ottonelli, Padre",Giovan Domenico Ottonelli,Person,[Disambiguation] 耶稣会士，反巴洛克戏剧论者。
"Oxford, Robert Harley, Earl of","Robert Harley, 1st Earl of Oxford",Person,[Formatting] 标准格式。
"Painting, social significance of",Social Significance of Painting,Concept/Work,[Category Fix] 误标为人物，实为概念。
"Pamfili (Astalli), Camillo",Camillo Astalli (Cardinal-Nephew),Person,[Disambiguation] 被英诺森十世收养的侄子。
Pamfili palace (Piazza Navona),Palazzo Pamphilj (Piazza Navona),Place,[Standardization] 罗马潘菲利宫。
"Pamfili, Gianbattista (Pope Innocent X)",Pope Innocent X (Giovanni Battista Pamphilj),Person,[Standardization] 优先使用教皇名号。
"Pamfili, Giulia",Giulia Maidalchini (Olimpia Maidalchini),Person,[Correction] 极可能是 Olimpia Maidalchini (Donna Olimpia Pamphilj)，英诺森十世的嫂子。
"Pamfili, Prince Camillo (nephew to Pope Innocent X)",Camillo Pamphilj,Person,[Formatting] 放弃红衣主教职位的亲王。
"Panciatichi, Senator Francesco",Francesco Panciatichi,Person,[Category Fix] 误标为地点。佛罗伦萨参议员。
"Paris, Venetian 18th-century artists in",Venetian Artists in Paris,Group,[Category Fix] 误标为地点，实为群体/现象。
"Parma, Academy",Academy of Fine Arts of Parma,Organization,[Category Fix] 机构。
"Parmigianino, Francesco",Parmigianino (Francesco Mazzola),Person,[Category Fix] 误标为地点。
"Pasquetti, Leonardo",Leonardo Pasquetti,Person,[Formatting] 标准格式。
"Passarowitz, Peace of",Treaty of Passarowitz,Event/Work,[Standardization] 帕萨罗维茨条约。
"Patriarch, Gaspare",Gaspare Patriarch,Person,"[Review] 疑为 ""Gaspare Patriarca"" (威尼斯画家) 或 OCR 错误。"
Patron-artist relation,Patron-Artist Relationship,Concept/Work,[Standardization] 艺术社会学概念。
"Pedozzi, Padre Jacopo",Padre Jacopo Pedozzi,Person,[Formatting] 标准格式。
"Peretti-Montalto, Cardinal Alessandro",Alessandro Peretti di Montalto,Person,[Formatting] 蒙塔尔托红衣主教。
"Perusini, Giovanni",Giovanni Peruzzini,Person,"[OCR Fix] ""Perusini"" -> ""Peruzzini"" (安科纳画家)。"
"Pesci, Prospero",Prospero Pesci,Person,[Formatting] 18世纪罗马风景画家。
"Petau, P. Denis",Denis Pétau,Person,[Formatting] 耶稣会神学家。
"Peterborough, 3rd Earl of","Charles Mordaunt, 3rd Earl of Peterborough",Person,[Disambiguation] 补全全名。
"Piastrini, G. D.",Giovanni Domenico Piastrini,Person,[Disambiguation] 佛罗伦萨画家。
"Piccino, Jacopo",Jacopo Piccini,Person,"[OCR Fix] ""Piccino"" -> ""Piccini"" (威尼斯版画师)。"
"Pisa, Treaty of",Treaty of Pisa,Event/Work,[Standardization] 历史事件。
"Pisani, Almorò",Almorò Pisani,Person,"[OCR Fix] 修复乱码 ""辰"" 为 ""ò""。"
Platnerus,Johann Heinrich Plattner,Person,[Disambiguation] 可能是拉丁化拼写。
"Polazzo, Francesco",Francesco Polazzo,Person,[Category Fix] 误标为地点，应为人物 (威尼斯画家)。
"Pomarance, Niccolò Circignani dalle",Niccolò Circignani (Il Pomarancio),Person,"[OCR Fix] 修复乱码 ""辰"" 为 ""ò""。"
"Pompeati, Domenico",Domenico Pompeati,Person,[Formatting] 标准格式。
"Portland, Henry, first Duke of","Henry Bentinck, 1st Duke of Portland",Person,[Formatting] 标准格式。
Prices paid to artists,Prices Paid to Artists,Concept/Work,[Category Fix] 经济/艺术市场数据。
"Professional classes, patronage by",Patronage by Professional Classes,Concept/Work,[Category Fix] 误标为人物，实为概念。
Provincial centres of art patronage,Provincial Art Patronage,Concept/Work,[Category Fix] 艺术地理概念。
Publishers in Venice,Publishers in Venice,Group,[Category Fix] 误标为地点，实为行业群体。
"P?llnitz, Baron de",Karl Ludwig von Pöllnitz,Person,"[OCR Fix] 修复乱码 ""P?llnitz"" 为 ""Pöllnitz""。"
"Rastatt, Treaty of",Treaty of Rastatt,Event/Work,[Standardization] 历史事件。
Reason and fantasy,Reason and Fantasy,Concept/Work,[Standardization] 艺术理论概念。
"Religious orders, patronage by",Patronage by Religious Orders,Concept/Work,[Standardization] 赞助类型。
"Resta, Padre Sebastiano",Sebastiano Resta,Person,[Formatting] 著名收藏家。
"Ribera, Don Ferdinando Afan de","Fernando Afán de Ribera, Duke of Alcalá",Person,[Standardization] 那不勒斯总督。
"Ricchini, Francesco Maria",Francesco Maria Richini,Person,[Category Fix] 误标为地点。米兰建筑师。
"Ricciardi, Giambattista",Giovan Battista Ricciardi,Person,[Formatting] 佛罗伦萨文人。
"Richmond, Duke of",Duke of Richmond,Person,[Standardization] 查尔斯·伦诺克斯 (Charles Lennox)。
"Romanelli, Giovan Francesco",Giovanni Francesco Romanelli,Person,[Category Fix] 误标为地点。画家。
"Rosa, Paceco de",Pacecco De Rosa,Person,[Formatting] 那不勒斯画家。
"Rosis, Giuseppe de",Giuseppe de Rosis,Person,[Formatting] 标准格式。
"Rossano, Princess of",Princess of Rossano (Olimpia Aldobrandini),Person,[Disambiguation] 可能是 Olimpia Aldobrandini。
"Rossi, Carlo de'",Carlo de' Rossi,Person,[Formatting] 普桑的赞助人。
