Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Accademia di Belle Arti di Firenze,,Q4585397,Organization,[Disambiguation] 佛罗伦萨美术学院。,"Academy of Fine Arts, Florence","art academy in Florence, Italy","Low Confidence - Score: 56.2 (Sim: 0.56, Cat: Neutral)"
Accademia di Belle Arti di Parma,,Q3604017,Organization,[Disambiguation] 帕尔马美术学院。,Academy of Fine Arts of Parma,Academy of Fine Arts in Italy,"Medium Confidence - Score: 62.3 (Sim: 0.62, Cat: Neutral)"
Accademia di Belle Arti di Venezia,Q338505,Q338505,Organization,[Validation] 威尼斯美术学院。,Accademia di Belle Arti di Venezia,"public tertiary academy of art in Venice, Italy, founded in 1750","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia di San Luca,Q338523,Q338523,Organization,[Validation] 罗马圣路卡学院。,Accademia di San Luca,Italian association of artists in Rome,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia di San Luca / Académie Royale,,,Organization,[Context] 可能是指罗马圣路卡学院或巴黎皇家绘画雕塑学院（通用名）。,,,No results found
Achille Bosisio,,,Person,[Validation] 威尼斯历史作家。,,,No results found
Achille Neri,Q20488569,Q122905814,Person,[Validation] 人物。,Achille Neri,Italian architect (1930-2000),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Adam von Bartsch,,Q78785,Person,[Full Name] 奥地利学者/版画家。,Adam Bartsch,"Austrian painter, writer and engravings expert (1757-1821)","High Confidence - Score: 105.7 (Sim: 0.86, Cat: Match)"
Adolfo Venturi,Q2824734,Q2824734,Person,[Validation] 艺术史学家。,Adolfo Venturi,Italian art historian (1856-1941),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Adolph S. Cavallo,,Q77518121,Person,[Full Name] 纺织品策展人/学者。,Adolfo S. Cavallo,American art historian,"Medium Confidence - Score: 88.2 (Sim: 0.88, Cat: Neutral)"
Adonis,Q163920,Q147534,Person (Myth),[Category Fix] 误标为 Person (普通)，实为神话人物。,Adonis,genus of plants,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Adoration of the Magi,,Q122664454,Work,[Validation] 绘画题材。,Adoration of the Magi,painting by Bertholet Flémal (ca 1652),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Adriaen van der Werff,Q368053,Q368053,Person,[Validation] 荷兰画家。 | 荷兰画家。,Adriaen van der Werff,Dutch painter (1659–1722),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Adriatic Sea,Q13924,Q13924,Place,[Validation] 地名。,Adriatic Sea,body of water between the Italian Peninsula and the Balkan Peninsula,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Adrien Maurice de Noailles,,Q376707,Person,"[OCR Fix] ""Mar谷chal"" -> ""Maréchal""。诺瓦耶公爵/元帅。",Adrien Maurice de Noailles,Marshal of France (1678-1766),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Aedes Barberina ad Quirinalem,,,Work,[Validation] Girolamo Teti 的书名。,,,No results found
Aeneas,Q82732,Q20000656,Person (Myth),[Validation] 神话人物。,Aeneas,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Aeneid,,Q60220,Work,[Validation] 维吉尔史诗。,Aeneid,epic poem by Virgil,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Agamemnon,Q128176,Q514891,Person (Myth),[Validation] 神话人物。,Agamemnon,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Agnolo Galli,Q127691377,Q363296,Person,[Validation] 罗马官员/赞助人。,Agnolo Gaddi,Wikipedia Page Match,Advanced Match via 'Agnolo Galli': Score 88.3 (Neutral)
Agony in the Garden,,Q5967673,Work,[Validation] 绘画主题。,Agony in the Garden,painting by El Greco (Andujar),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Agostino Barelli,Q395578,Q395578,Person,[Validation] 巴洛克建筑师。,Agostino Barelli,Italian architect,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Agostino Chigi,,Q395635,Person,[Disambiguation] 基吉家族成员。 | [Reconstruction] 文艺复兴银行家。,Agostino Chigi,Italian banker,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Agostino Chigi (Prince of Farnese),,Q395635,Person,[Reconstruction] 亲王。,Agostino Chigi,Wikipedia Page Match,Advanced Match via 'Agostino Chigi': Score 105.0 (Neutral)
Agostino Ciampelli,Q1061864,Q1061864,Person,[Validation] 画家。,Agostino Ciampelli,Italian painter (1565-1630),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Agostino Mascardi,Q3606791,Q3606791,Person,[Validation] 历史学家/修辞学家。,Agostino Mascardi,"Italian rhetorician, historian and poet","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Agostino Masucci,Q395680,Q395680,Person,[Validation] 画家。,Agostino Masucci,Italian painter (1691-1758),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Agostino Mitelli,Q1427142,Q1427142,Person,[Validation] 画家 (Quadraturista)。,Agostino Mitelli,Italian painter (1609-1660),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Agostino Sagredo,Q3606820,Q3606820,Person,[Validation] 威尼斯参议员/收藏家。,Agostino Sagredo,Italian historian and politician (1798–1871),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Agostino Tassi,Q395741,Q395741,Person,[Validation] 画家。,Agostino Tassi,Italian painter (c.1580-1644),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Albergo del Moretto,,,Place,[Validation] 地点（旅馆）。,,,No results found
Albert Charles Sewter,,Q18934833,Person,[Full Name] 20世纪艺术史学家。,A. C. Sewter,British art historian (1912-1983),"Medium Confidence - Score: 60.6 (Sim: 0.61, Cat: Neutral)"
Albert Ilg,Q86432,Q86432,Person,[Validation] 艺术史学家。,Albert Ilg,Austrian art historian (1847-1896),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alberto Cametti,Q5601360,Q5601360,Person,[Validation] 音乐学家。,Alberto Cametti,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alberto Vecchi,,Q131758432,Person,[Validation] 学者。,Alberto Vecchi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Albrecht Dürer,Q5580,Q5580,Person,[Validation] 丢勒。,Albrecht Dürer,"German painter, printmaker, mathematician, and theorist (1471–1528)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Aldo De Rinaldis,Q51529772,Q51529772,Person,[Validation] 艺术史学家。,Aldo De Rinaldis,Italian art critic and writer (1881-1948),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Aldo Ravà,Q105102298,Q105102298,Person,[Validation] 威尼斯研究学者。,Aldo Ravà,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Albani,Q540338,Q540338,Person,[Validation] 亚历山德罗·阿尔多布兰迪尼枢机。,Alessandro Albani,Roman Catholic cardinal and antiquarian (1692–1779),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Algardi,Q336798,Q26111373,Person,[Validation] 雕塑家。,Alessandro Algardi,Italian painter (born 1945),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Baudi di Vesme,Q52157623,Q52157623,Person,[Validation] 艺术史学家。,Alessandro Baudi di Vesme,"academic (1854 - 1923), member of the Accademia delle Scienze di Torino since 1910","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Bettagno,Q59527613,Q59527613,Person,[Validation] 艺术史学家。,Alessandro Bettagno,"born:1919-04-12|died:2004-10-20|; Bettagno, Alessandro, 1919-2004; Bettagno, Alessandro 1919-...","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Borgia,Q3609880,Q2197044,Person,[Validation] 亚历山德罗·波吉亚。,Alessandro Borgia,Italian nobleman and Knight Hospitaller,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Farnese (Cardinal),,Q554961,Person,[Reconstruction] 可能是指教皇保罗三世之前的身份，或其孙子 Alessandro Farnese il Giovane。需结合语境。通常指 il Giovane (著名赞助人)。 | [Validation] 法尔内塞枢机。,Alessandro Farnese,Spanish politician and military personnel (1635-1689),Advanced Match via 'Alessandro Farnese': Score 120.0 (Match)
Alessandro Farnese (Duke of Parma),,Q554961,Person,[Validation] 帕尔马公爵。,Alessandro Farnese,Spanish politician and military personnel (1635-1689),Advanced Match via 'Alessandro Farnese': Score 120.0 (Match)
Alessandro Galilei,Q176742,Q176742,Person,[Validation] 建筑师。,Alessandro Galilei,Italian architect and engineer of the Baroque period (1691–1737),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Gherardini,Q327785,Q327785,Person,[Validation] 画家。,Alessandro Gherardini,Italian painter (1655–1726),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Longhi,Q1855242,Q1855242,Person,[Validation] 威尼斯肖像画家。,Alessandro Longhi,Italian painter and engraver (1733-1813),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Luzio,Q3610091,Q3610091,Person,[Validation] 历史学家。,Alessandro Luzio,Italian journalist and historian (1857-1946),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Magnasco,Q516941,Q516941,Person,[Validation] 画家。,Alessandro Magnasco,Italian painter (1667-1749),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Marabottini,Q19753755,Q19753755,Person,[Validation] 艺术史学家。,Alessandro Marabottini,"b. 1926 in Florence, Ialy; d. 2012 in Florence, Italy; art collector","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Marchesini,Q3460024,Q3460024,Person,[Category Fix] 原文误标为 Man-Made Object。维罗纳画家。 | [Validation] 画家。,Alessandro Marchesini,Italian painter (1663-1738),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Orsini,Q2832804,Q11904881,Person,[Validation] 亚历山德罗·奥尔西尼枢机。,Alessandro Orsini,Italian composer (1832-1890),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Peretti di Montalto,Q82659,Q82659,Person,[Validation] 枢机主教。 | 红衣主教蒙塔尔托。,Alessandro Peretti di Montalto,Italian Roman Catholic Cardinal Deacon,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Saluzzi,,Q18507717,Person,,Alessandro Salucci,Italian painter (1590-1655),"High Confidence - Score: 108.9 (Sim: 0.89, Cat: Match)"
Alessandro Scarlatti,Q183087,Q183087,Person,[Validation] 作曲家。,Alessandro Scarlatti,Italian composer (1660–1725),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alessandro Sforza,Q953878,Q2832818,Person,[Validation] 斯福尔扎家族成员 (可能是枢机)。,Alessandro Sforza,Italian Roman Catholic bishop and cardinal,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Turchi,Q507279,Q507279,Person,[Validation] 画家 (l'Orbetto)。,Alessandro Turchi,Italian painter (1578–1649),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Varotari,Q1727824,Q1727824,Person,别名 Padovanino。,Alessandro Varotari,painter from Italy (1588-1649),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Varotari (Padovanino),,Q1727824,Person,[Disambiguation] 帕多瓦尼诺。,Alessandro Varotari,painter from Italy (1588-1649),Advanced Match via 'Alessandro Varotari': Score 120.0 (Match)
Alessandro Vassalli,,Q19973664,Person,"[OCR Fix] 疑似 ""Vassalli"" (17世纪出版商/刻工)。",Alessandro Mastalli,Wikipedia Page Match,Advanced Match via 'Alessandro Vassalli': Score 94.5 (Neutral)
Alessandro Vittrice,,Q4716445,Person,罗马贵族，卡拉瓦乔《入葬》的赞助人。,Alessandro Vittrici,Roman art collector an catholic bishop,"High Confidence - Score: 114.7 (Sim: 0.95, Cat: Match)"
Alessandro Vittrici,Q4716445,Q4716445,Person,[Disambiguation] 罗马主教/副总管 (Vicegerent)。,Alessandro Vittrici,Roman art collector an catholic bishop,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Alessandro Zen,,Q3610383,Person,[Validation] 威尼斯贵族。 | 威尼斯检察官。,Alessandro Zenatello,Italian painter (1891-1977),"High Confidence - Score: 102.4 (Sim: 0.82, Cat: Match)"
Alessandro de' Medici (Duke of Florence),,Q108433354,Person,[Disambiguation] 佛罗伦萨公爵。,Alessandro de' Medici,Italian nobleman and soldier,Advanced Match via 'Alessandro de' Medici': Score 120.0 (Match)
"Alexander Hamilton, 10th Duke of Hamilton",Q336657,Q336657,Person,[Full Name] 著名收藏家。,"Alexander Hamilton, 10th Duke of Hamilton","Scottish peer, politician and art collector (1767-1852)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alexander III (Pope),,Q223874,Person,[Disambiguation] 教皇亚历山大三世（常见于威尼斯历史画）。,Alexander III,Wikimedia human name disambiguation page,Advanced Match via 'Alexander III': Score 120.0 (Match)
Alexander Sauli,Q1341237,Q1341237,Person,[Validation] 圣徒 (St. Alexander Sauli)。,Alexander Sauli,Italian saint,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alexander VII,,Q127254,Person,[Disambiguation] 教皇亚历山大七世。,Alexander VII,pope of the Catholic Church from 1655 to 1667,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alexander VIII,,Q101294,Person,教皇亚历山大八世。,Alexander VIII,pope of the Catholic Church from 1689 to 1691,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alexander the Great,Q8409,Q8409,Person,[Validation] 历史人物。,Alexander the Great,king of Macedonia and conqueror of Achaemenid Persia (356–323 BC),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alfonso E. Pérez Sánchez,,Q1186153,Person,[Full Name] 艺术史学家 (普拉多博物馆馆长)。,Alfonso Pérez Sánchez,Spanish historian and university professor (1935-2010),"High Confidence - Score: 93.3 (Sim: 0.93, Cat: Neutral)"
Alfonso Gesualdo,Q1373399,Q1373399,Person,[Disambiguation] 枢机主教。 | [Validation] 枢机主教。,Alfonso Gesualdo,Catholic cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alfonso I d'Este,Q188346,Q188346,Person,[Validation] 费拉拉公爵。,Alfonso I d'Este,"Duke of?Ferrara, Modena and Reggio (1476–1534)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alfred Sensier,Q2835445,Q2835445,Person,[Validation] 艺术评论家/传记作家。,Alfred Sensier,French art historian (1815–1877),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alfredo Bardella,,Q2646352,Person,[Validation] 人物。,Alfredo Lardelli,Wikipedia Page Match,Advanced Match via 'Alfredo Bardella': Score 92.5 (Neutral)
Alice Binion,,Q98137345,Person,[Validation] 艺术史学家 (威尼斯画派专家)。,Alice Hinton-Bateup,Wikipedia Page Match,Advanced Match via 'Alice Binion': Score 69.5 (Neutral)
Allan Hume,Q455438,Q455438,Person,[Validation] 人物 (可能是收藏家或 Grand Tour 旅行者)。,Allan Hume,British Ornithologist and Founder of the Indian National Congress (1829–1912),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Allegory of Clemency,,,Work,[Validation] 寓意画主题。,,,No results found
Allegory of Coral fishing,,,Work,[Validation] 雅格布·祖奇 (Jacopo Zucchi) 画作。,,,No results found
Allegory of Divine Providence and Barberini Power,Q4731387,Q4731387,Work,[Disambiguation] Pietro da Cortona 壁画。 | [Validation] 皮耶特罗·达·科尔托纳壁画。,Allegory of Divine Providence and Barberini Power,fresco by Pietro da Cortona,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Allegory of Divine Wisdom,Q111821593,Q26699586,Work,[Validation] 安德烈亚·萨基壁画。,Allegory of Divine Wisdom,painting by Luca Giordano,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Allegory of Fortune,Q20087469,Q20087469,Work,[Validation] 寓意画主题。,Allegory of Fortune,painting by Salvator Rosa,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Allegory of Rome,,Q108758158,Work,[Validation] 寓意画主题。,Allegory of Rome,drawing by Giovanni Mauro della Rovere (il Fiammenghino),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Allegory of Venice,,Q50947952,Work,[Validation] 寓意画主题。,Allegory of Venice,"painting by Paolo Veronese, Szépm?vészeti Múzeum","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Allegory of the Arts,,Q27974834,Work,[Validation] 寓意画主题。,Allegory of the Arts,"painting by Bernardo (Il Cappuccino, Il Prete Genovese) Strozzi","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Allegory of the Education of the Crown Prince,,,Work,[Validation] 寓意画主题。,,,No results found
Almorò Albrizzi,,Q55225031,Person,"[OCR Fix] 修正 ""Almor¨°"" 为 ""Almorò""。",Almorò Albrizzi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Almorò Pisani,,,Person,"[OCR Fix] ""辰"" -> ""ò""。威尼斯贵族。",,,No results found
Aloys Thomas Raimund von Harrach,,Q24211,Person,[Disambiguation]那不勒斯总督/收藏家。,Aloys Thomas Raimund,Austrian politician and diplomat (1669-1742),"Medium Confidence - Score: 76.9 (Sim: 0.77, Cat: Neutral)"
Aloysius Gonzaga,Q310307,Q310307,Person,[Validation] 圣路易吉·公撒格。,Aloysius Gonzaga,Italian aristocrat and Jesuit seminarian and saint,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alps,Q1286,Q1286,Place,[Validation] 地名。,Alps,major mountain range system in central Europe,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Altar Paintings (San Canciano),,,Work,[Validation] 祭坛画组。,,,No results found
Altar of Friendship,,,Work,[Validation] 纪念碑/画作主题。,,,No results found
Altar of Tranquility and Rural Life,,,Work,[Validation] 纪念碑/画作主题。,,,No results found
Altar of Wealth and Apollo,,,Work,[Validation] 纪念碑/画作主题。,,,No results found
Altarpiece for Chiesa Nuova,,,Work,[Validation] 祭坛画（可能是鲁本斯）。,,,No results found
Altarpiece for Santa Maria dei Cappuccini,,,Work,[Validation] 祭坛画。,,,No results found
Altarpiece for St. Sebastian,,,Work,[Validation] 祭坛画。,,,No results found
Altarpiece for the Augustinian Church,,,Work,[Validation] 祭坛画。,,,No results found
Altarpieces for the Royal Chapel,,,Work,[Validation] 祭坛画组。,,,No results found
Alte Pinakothek,Q154568,Q154568,Place,[Validation] 慕尼黑老绘画陈列馆。,Alte Pinakothek,"art museum in Munich, Germany","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Altero Matteoli,,Q438845,Person,[Context] 现代意大利政治家/部长（可能出现在参考文献中）。,Altero Matteoli,Italian politician (1940-2017),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Altieri (Family),,Q21449562,Person/Group,[Category Fix] 误标为 Place。指家族或 Palazzo。,Altieri,Wikipedia Page Match,Advanced Match via 'Altieri': Score 105.0 (Neutral)
Alvise Mocenigo,Q3613470,Q3613470,Person,[Validation] 威尼斯总督/贵族（需具体上下文区分几世）。 | 威尼斯总督（具体哪一世需上下文，通常指 Alvise IV 1763-1778）。,Alvise Mocenigo,Italian politician (1583-1654),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Alvise Pisani,Q449469,Q449469,Person,[Validation] 威尼斯总督/贵族。,Alvise Pisani,114th Doge of Venice (1664-1741),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Amadeo Svajer,,Q3613921,Person,[OCR Fix/Standardization] 威尼斯收藏家 (Svajer)。,Amedeo Svajer,Italian merchant (1727-1791),"High Confidence - Score: 92.3 (Sim: 0.92, Cat: Neutral)"
Amalfi,Q80563,Q80563,Place,[Validation] 地名。,Amalfi,Italian comune,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Amalia Mezzetti,Q116770583,Q116770583,Person,[Validation] 艺术史学家。,Amalia Mezzetti,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ambrogio Mazenta,,,Person,17世纪巴尔纳比特修士/建筑师。,,,No results found
Ambroise Dubois,Q2415583,Q2415583,Person,[Reconstruction] 枫丹白露画派画家。 | [Validation] 画家 (枫丹白露画派)。,Ambroise Dubois,Dutch painter (1542-1614),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
